CID;TABCD;LCD;ALLOCATED
515;25;3153;1
515;25;3154;1
515;25;731;1
515;25;734;1
515;25;733;1
515;25;732;1
515;25;735;1
515;25;738;1
515;25;737;1
515;25;736;1
515;25;2993;1
515;25;2994;1
515;25;2995;1
515;25;2996;1
515;25;3061;1
515;25;3062;1
515;25;3063;1
515;25;3064;1
515;25;1019;1
515;25;1020;1
515;25;3230;1
515;25;1021;1
515;25;1022;1
515;25;3231;1
515;25;1023;1
515;25;2219;1
515;25;2220;1
515;25;2221;1
515;25;2222;1
515;25;2223;1
515;25;2176;1
515;25;2177;1
515;25;2759;1
515;25;2178;1
515;25;2179;1
515;25;2180;1
515;25;2181;1
515;25;2182;1
515;25;2183;1
515;25;2184;1
515;25;2185;1
515;25;2186;1
515;25;2224;1
515;25;2188;1
515;25;2700;1
515;25;2189;1
515;25;2190;1
515;25;2191;1
515;25;2225;1
515;25;2701;1
515;25;2226;1
515;25;2227;1
515;25;2228;1
515;25;2229;1
515;25;2165;1
515;25;2166;1
515;25;2167;1
515;25;2702;1
515;25;2168;1
515;25;2169;1
515;25;1145;1
515;25;1146;1
515;25;2213;1
515;25;2211;1
515;25;2214;1
515;25;2215;1
515;25;2216;1
515;25;2217;1
515;25;2218;1
515;25;2953;1
515;25;3258;1
515;25;3039;1
515;25;3040;1
515;25;3041;1
515;25;3042;1
515;25;3259;1
515;25;3260;1
515;25;3043;1
515;25;1311;1
515;25;1312;1
515;25;3241;1
515;25;3242;1
515;25;3135;1
515;25;3136;1
515;25;3137;1
515;25;3138;1
515;25;2202;1
515;25;2203;1
515;25;2204;1
515;25;2205;1
515;25;2206;1
515;25;2703;1
515;25;2207;1
515;25;2704;1
515;25;2208;1
515;25;2935;1
515;25;2936;1
515;25;2937;1
515;25;2938;1
515;25;2939;1
515;25;2940;1
515;25;2941;1
515;25;2309;1
515;25;2310;1
515;25;2705;1
515;25;2311;1
515;25;3084;1
515;25;1519;1
515;25;1520;1
515;25;603;1
515;25;604;1
515;25;605;1
515;25;606;1
515;25;607;1
515;25;1535;1
515;25;1536;1
515;25;749;1
515;25;750;1
515;25;751;1
515;25;752;1
515;25;753;1
515;25;2962;1
515;25;2963;1
515;25;2964;1
515;25;2965;1
515;25;2966;1
515;25;3044;1
515;25;3045;1
515;25;3046;1
515;25;3047;1
515;25;629;1
515;25;630;1
515;25;631;1
515;25;632;1
515;25;633;1
515;25;1267;1
515;25;1268;1
515;25;2286;1
515;25;2287;1
515;25;2288;1
515;25;2289;1
515;25;2292;1
515;25;2153;1
515;25;2154;1
515;25;2840;1
515;25;2155;1
515;25;1355;1
515;25;1356;1
515;25;1115;1
515;25;1118;1
515;25;1117;1
515;25;777;1
515;25;850;1
515;25;2952;1
515;25;953;1
515;25;954;1
515;25;3248;1
515;25;3249;1
515;25;3250;1
515;25;3251;1
515;25;3252;1
515;25;3253;1
515;25;3254;1
515;25;1361;1
515;25;1362;1
515;25;1359;1
515;25;1360;1
515;25;1357;1
515;25;1358;1
515;25;1339;1
515;25;1340;1
515;25;1345;1
515;25;1346;1
515;25;1337;1
515;25;1338;1
515;25;2864;1
515;25;2865;1
515;25;1443;1
515;25;1444;1
515;25;1445;1
515;25;2861;1
515;25;1446;1
515;25;1447;1
515;25;2808;1
515;25;1347;1
515;25;1348;1
515;25;1351;1
515;25;1352;1
515;25;1349;1
515;25;1350;1
515;25;1341;1
515;25;1342;1
515;25;1343;1
515;25;1344;1
515;25;559;1
515;25;560;1
515;25;561;1
515;25;562;1
515;25;563;1
515;25;1243;1
515;25;1244;1
515;25;1245;1
515;25;1246;1
515;25;1251;1
515;25;1252;1
515;25;1247;1
515;25;1248;1
515;25;1253;1
515;25;1254;1
515;25;1249;1
515;25;1250;1
515;25;564;1
515;25;565;1
515;25;566;1
515;25;567;1
515;25;3068;1
515;25;3069;1
515;25;2441;1
515;25;589;1
515;25;590;1
515;25;591;1
515;25;592;1
515;25;594;1
515;25;2397;1
515;25;2398;1
515;25;2399;1
515;25;2400;1
515;25;828;1
515;25;829;1
515;25;830;1
515;25;831;1
515;25;834;1
515;25;835;1
515;25;836;1
515;25;819;1
515;25;820;1
515;25;821;1
515;25;822;1
515;25;823;1
515;25;824;1
515;25;825;1
515;25;826;1
515;25;827;1
515;25;2415;1
515;25;2416;1
515;25;2417;1
515;25;2629;1
515;25;2630;1
515;25;2631;1
515;25;2632;1
515;25;2801;1
515;25;2633;1
515;25;2634;1
515;25;888;1
515;25;889;1
515;25;890;1
515;25;891;1
515;25;892;1
515;25;2807;1
515;25;3066;1
515;25;1353;1
515;25;1354;1
515;25;1367;1
515;25;1368;1
515;25;425;1
515;25;426;1
515;25;427;1
515;25;428;1
515;25;496;1
515;25;2433;1
515;25;2434;1
515;25;2435;1
515;25;2436;1
515;25;2437;1
515;25;2706;1
515;25;2438;1
515;25;2997;1
515;25;463;1
515;25;465;1
515;25;466;1
515;25;467;1
515;25;2820;1
515;25;2821;1
515;25;2822;1
515;25;936;1
515;25;939;1
515;25;937;1
515;25;938;1
515;25;2748;1
515;25;2998;1
515;25;930;1
515;25;931;1
515;25;932;1
515;25;933;1
515;25;934;1
515;25;935;1
515;25;680;1
515;25;681;1
515;25;682;1
515;25;683;1
515;25;460;1
515;25;461;1
515;25;462;1
515;25;2386;1
515;25;2387;1
515;25;2388;1
515;25;2710;1
515;25;2389;1
515;25;533;1
515;25;534;1
515;25;535;1
515;25;536;1
515;25;537;1
515;25;538;1
515;25;529;1
515;25;530;1
515;25;1028;1
515;25;531;1
515;25;1055;1
515;25;3243;1
515;25;532;1
515;25;1498;1
515;25;1499;1
515;25;3022;1
515;25;3023;1
515;25;3024;1
515;25;3025;1
515;25;2977;1
515;25;2978;1
515;25;2979;1
515;25;2980;1
515;25;2981;1
515;25;1476;1
515;25;1477;1
515;25;584;1
515;25;585;1
515;25;586;1
515;25;587;1
515;25;588;1
515;25;782;1
515;25;783;1
515;25;784;1
515;25;785;1
515;25;786;1
515;25;787;1
515;25;788;1
515;25;789;1
515;25;790;1
515;25;791;1
515;25;792;1
515;25;3000;1
515;25;3001;1
515;25;922;1
515;25;924;1
515;25;923;1
515;25;2875;1
515;25;3245;1
515;25;2876;1
515;25;2877;1
515;25;2878;1
515;25;3264;1
515;25;3265;1
515;25;3266;1
515;25;3267;1
515;25;3268;1
515;25;2907;1
515;25;2908;1
515;25;2909;1
515;25;84;1
515;25;85;1
515;25;86;1
515;25;87;1
515;25;305;1
515;25;306;1
515;25;321;1
515;25;322;1
515;25;2145;1
515;25;2147;1
515;25;2146;1
515;25;3013;1
515;25;3014;1
515;25;3015;1
515;25;3016;1
515;25;57;1
515;25;83;1
515;25;58;1
515;25;59;1
515;25;60;1
515;25;61;1
515;25;62;1
515;25;63;1
515;25;64;1
515;25;82;1
515;25;369;1
515;25;370;1
515;25;373;1
515;25;374;1
515;25;371;1
515;25;372;1
515;25;391;1
515;25;392;1
515;25;311;1
515;25;312;1
515;25;393;1
515;25;394;1
515;25;313;1
515;25;314;1
515;25;395;1
515;25;396;1
515;25;309;1
515;25;310;1
515;25;299;1
515;25;300;1
515;25;1441;1
515;25;1442;1
515;25;271;1
515;25;272;1
515;25;259;1
515;25;260;1
515;25;331;1
515;25;332;1
515;25;335;1
515;25;336;1
515;25;1472;1
515;25;1473;1
515;25;365;1
515;25;366;1
515;25;307;1
515;25;308;1
515;25;1147;1
515;25;1148;1
515;25;301;1
515;25;302;1
515;25;303;1
515;25;304;1
515;25;1149;1
515;25;1150;1
515;25;385;1
515;25;386;1
515;25;383;1
515;25;384;1
515;25;295;1
515;25;296;1
515;25;297;1
515;25;298;1
515;25;351;1
515;25;352;1
515;25;269;1
515;25;270;1
515;25;257;1
515;25;258;1
515;25;333;1
515;25;334;1
515;25;337;1
515;25;338;1
515;25;1468;1
515;25;1469;1
515;25;1470;1
515;25;1471;1
515;25;367;1
515;25;368;1
515;25;315;1
515;25;316;1
515;25;387;1
515;25;388;1
515;25;329;1
515;25;330;1
515;25;381;1
515;25;382;1
515;25;1439;1
515;25;1440;1
515;25;287;1
515;25;288;1
515;25;267;1
515;25;268;1
515;25;339;1
515;25;340;1
515;25;349;1
515;25;350;1
515;25;1456;1
515;25;1457;1
515;25;1151;1
515;25;1152;1
515;25;2515;1
515;25;2516;1
515;25;2517;1
515;25;1299;1
515;25;1300;1
515;25;2697;1
515;25;2547;1
515;25;2548;1
515;25;2549;1
515;25;2712;1
515;25;2596;1
