CID;LID;NID;NTRANSLATION
495;3;161;Yumenhe'nanyan'an
495;2;162;yi fen jie
495;3;162;Yifen St
495;2;163;xing hua jie
495;3;163;Xinghua St
495;2;164;xing hua bei jie
495;3;164;Xinghua North St
495;2;165;chai xi gong lu
495;3;165;Chaixi Hwy
495;2;167;ying bin bei lu
495;3;167;Yingbin North Rd
495;2;168;chang zhi lu
495;3;168;Changzhi Rd
495;2;169;wu cheng bei jie
495;3;169;Wucheng North St
495;2;170;jie fang nan lu
495;3;170;Jiefang South Rd
495;2;171;kai hua si jie
495;3;171;Kaihuasi St
495;2;172;zhong lou jie
495;3;172;Zhonglou St
495;2;173;dong ji hu ying
495;3;173;E Jihuying
495;2;174;cheng fang dong jie
495;3;174;Chengfang East St
495;2;176;ti yu xi lu
495;3;176;Tiyu West Rd
495;2;177;ti yu lu
495;3;177;Tiyu Rd
495;2;178;wen hua jie
495;3;178;Wenhua St
495;2;179;er ying pan jie
495;3;179;Eryingpan St
495;2;184;tao yuan nan lu
495;3;184;Taoyuan South Rd
495;2;185;qing nian lu
495;3;185;Qingnian Rd
495;2;186;bing zhou xi jie
495;3;186;Bingzhou West St
495;2;187;qiao dong jie
495;3;187;Qiaodong St
495;2;188;nan guan fang lu
495;3;188;Nanguanfang Rd
495;2;189;qiao dong jie bei er xiang
495;3;189;Qiaodongjiebeier Ln
495;2;190;xin cheng nan jie
495;3;190;Xincheng South St
495;2;191;shuang ta bei lu
495;3;191;Shuangta North Rd
495;2;192;jing yuan lu
495;3;192;Jingyuan Rd
495;2;193;shui xi guan jie
495;3;193;Shuixiguan St
495;2;194;jin song bei lu
495;3;194;Jinsong North Rd
495;2;195;du si jie
495;3;195;Dusi St
495;2;196;tao yuan san xiang
495;3;196;Taoyuansan Ln
495;2;197;qiao tou jie
495;3;197;Qiaotou St
495;2;198;xin cheng bei jie
495;3;198;Xincheng North St
495;2;199;yu men he bei yan an
495;3;199;Yumenhebeiyan'an
495;2;200;qian feng bei lu
495;3;200;Qianfeng North Rd
495;2;202;po zi jie
495;3;202;Pozi St
495;2;203;xi ji hu ying
495;3;203;W Jihuying
495;2;204;san qiao jie
495;3;204;Sanqiao St
495;2;205;jin gang yan lu
495;3;205;Jin'gangyan Rd
495;2;206;bei xiao qiang
495;3;206;Beixiaoqiang
495;2;207;ba ling nan jie
495;3;207;Baling South St
495;2;208;dun hua nan lu
495;3;208;Dunhua South Rd
495;2;215;xing hua bei xiang
495;3;215;Xinghua North Ln
495;2;216;bin xi bei huan lu
495;3;216;Binxibeihuan Rd
495;2;217;ying xi jie
495;3;217;Yingxi St
495;2;218;qian feng nan lu
495;3;218;Qianfeng South Rd
495;2;219;yu he dong jie
495;3;219;Yuhe East St
495;2;220;he ping bei lu bei xiang
495;3;220;Hepingbeilu North Ln
495;2;221;yi xing lu
495;3;221;Yixing Rd
495;2;224;liu xiang
495;3;224;Liuxiang
495;2;225;yong kang jie
495;3;225;Yongkang St
495;2;227;xin cheng jie
495;3;227;Xincheng St
495;2;229;hong gou bei jie
495;3;229;Honggou North St
495;2;230;song zhuang lu
495;3;230;Songzhuang Rd
495;2;231;wo hu shan lu
495;3;231;Wohushan Rd
495;2;240;da wang lu zhi bin he xi lu
495;3;240;Dawang Rd to Binhe West Rd
495;2;241;da yu shou fei zhan
495;3;241;Dayu Tollgate
495;2;251;gu cheng xi jie
495;3;251;Gucheng West St
495;2;257;ji chang zhuan yong xian
495;3;257;Jichangzhuanyong Line
495;2;258;tai yuan wu su guo ji ji chang
495;3;258;Taiyuan Wusu International Airport
495;2;263;ban shan guo ji hua yuan
495;3;263;Banshan Int'l Garden
495;2;268;zhong bei da xue
495;3;268;Zhongbei University
495;2;596;tai yuan rao cheng gao su gong lu
495;3;596;Taiyuanraocheng Hwy
495;2;597;tai yuan rao cheng gao su gong lu bei duan
495;3;597;Taiyuanraocheng Hwy North Sect
495;2;599;tai yuan rao cheng gao su gong lu dong duan
495;3;599;Taiyuanraocheng Hwy East Sect
495;2;601;tai yuan rao cheng gao su gong lu nan duan
495;3;601;Taiyuanraocheng Hwy South Sect
495;2;604;tai yuan rao cheng gao su gong lu xi duan
495;3;604;Taiyuanraocheng Hwy West Sect
495;2;605;xi yuan nan lu
495;3;605;Xiyuan South Rd
495;2;607;er guang gao su gong lu tai yuan duan
495;3;607;Erguang Hwy Taiyuan Sect
495;2;608;jing kun gao su gong lu tai yuan duan
495;3;608;Jingkun Hwy Taiyuan Sect
495;2;611;er guang gao su gong lu
495;3;611;Erguang Hwy
495;2;614;dong qi xian
495;3;614;Dongqi Line
495;2;615;ni tun shou fei zhan
495;3;615;Nitun Tollgate
495;2;616;kang xi gong lu
495;3;616;Kangxi Hwy
495;2;617;jing le fu wu qu
495;3;617;Jingle Service Area
495;2;620;long cheng da jie
495;3;620;Longcheng Ave
495;2;624;shang xiao qiang
495;3;624;Shangxiaoqiang
495;2;627;peng cun lu
495;3;627;Pengcun Rd
495;2;631;tai yuan bei fu wu qu (er guang gao su gong lu)
495;3;631;Taiyuan N Service Area (Erguang Hwy)
495;2;641;shan xi zhong yi xue yuan su she
495;3;641;Shanxizhongyixueyuansushe
495;2;642;yang qu shou fei zhan
495;3;642;Yangqu Tollgate
495;2;644;bei he wan lu
495;3;644;Beihewan Rd
495;2;645;nan tun an ju jie
495;3;645;Nantun'anju St
495;2;646;chang xing bei jie
495;3;646;Changxing North St
495;2;647;chang xing lu
495;3;647;Changxing Rd
495;2;648;chang xing nan jie
495;3;648;Changxing South St
495;2;649;xu tan xi jie
495;3;649;Xutan West St
495;2;650;yi fen qiao (bin he xi lu)
495;3;650;Yifen Brg (Binhe West Rd)
495;2;651;yi fen qiao (fu xi jie)
495;3;651;Yifen Brg (Fuxi St)
495;2;652;ying ze da qiao (xi qu lu)
495;3;652;Yingze Brg (Xiqu Rd)
495;2;653;ying ze da qiao (jin song lu)
495;3;653;Yingze Brg (Jinsong Rd)
495;2;656;sheng li qiao (bin xi bei huan lu)
495;3;656;Shengli Brg (Binxibeihuan Rd)
495;2;657;sheng li qiao (bei da jie)
495;3;657;Shengli Brg (Beida St)
495;2;658;chang feng qiao (bin he xi lu)
495;3;658;Changfeng Brg (Binhe West Rd)
495;2;659;chang feng qiao (chang feng jie)
495;3;659;Changfeng Brg (Changfeng St)
495;2;660;nan zhong huan qiao (bin he xi lu)
495;3;660;Nanzhonghuan Brg (Binhe West Rd)
495;2;661;nan zhong huan qiao (bin he dong lu)
495;3;661;Nanzhonghuan Brg (Binhe East Rd)
495;2;662;xiang yun qiao (bin he dong lu)
495;3;662;Xiangyun Brg (Binhe East Rd)
495;2;663;xiang yun qiao (bin he xi lu)
495;3;663;Xiangyun Brg (Binhe West Rd)
495;2;664;ping lin gao su gong lu
495;3;664;Pinglin Hwy
495;2;665;tai yuan bei fu wu qu
495;3;665;Taiyuan N Service Area 
495;2;666;zhang zi tou hu tong shi li jiao qiao
495;3;666;Zhangzitouhutongshi Jct
495;2;667;yang jia yu hu tong shi li jiao qiao
495;3;667;Yangjiayuhutongshi Jct
495;2;668;chao yang jie hu tong shi li jiao qiao
495;3;668;Chaoyangjiehutongshi Jct
495;2;669;tai yuan dong fu wu qu
495;3;669;Taiyuan E Service Area
495;2;670;xing hua xi jie
495;3;670;Xinghua West St
495;2;671;ping lin gao su gong lu tai yuan duan
495;3;671;Pingling Hwy Taiyuan Sect
495;2;672;tai yang gao su gong lu
495;3;672;Taiyang Hwy
495;2;673;min hang nan lu
495;3;673;Minhang South Rd
495;2;674;huan cheng bei lu
495;3;674;Huancheng North Rd
495;2;675;yang qu dong hu tong
495;3;675;Yangqudonghutong
495;2;677;S314
495;3;677;S314
495;2;680;hua ta cun
495;3;680;Huata Village
495;2;681;gang luan xian
495;3;681;Gangluan Line
495;2;682;long cheng xi da jie
495;3;682;Longcheng West Ave
495;2;683;nan zhong huan xi jie
495;3;683;Nanzhonghuan West St
495;2;684;wu yi guang chang
495;3;684;Wuyiguangchang
495;2;685;chang feng qiao
495;3;685;Changfeng Brg
495;2;686;sheng li qiao dong bei huan lu
495;3;686;Shengliqiaodongbeihuan Rd
495;2;687;cai xing jie
495;3;687;Caixing St
495;2;688;ying ze da qiao
495;3;688;Yingze Brg
495;2;689;xi xiao qiang
495;3;689;Xixiaoqiang
495;2;690;chai cun qiao
495;3;690;Chaicun Brg
495;2;691;ying ze da qiao bei za dao qiao
495;3;691;Yingzedaqiaobeizadao Brg
495;2;692;ying ze da qiao nan za dao qiao
495;3;692;Yingzedaqiaonanzadao Brg
495;2;693;xin jin ci lu (long cheng xi da jie)
495;3;693;Xinjinci Rd (Longcheng W Ave)
495;2;694;nan nei huan qiao nan za dao qiao
495;3;694;Nanneihuanqiaonanzadao Brg
495;2;696;ping yang nan lu (nan zhong huan jie)
495;3;696;Pingyang South Rd (Nanzhonghuan St)
495;2;697;wo hu shan lu zhi tai yuan rao cheng gao su gong lu
495;3;697;Wohushan Rd to Taiyuanraocheng Hwy
495;2;698;wu yi dong jie nan er xiang
495;3;698;Wuyidongjienaner Ln
495;2;699;wu yi jie nan yi xiang
495;3;699;Wuyijienanyi Ln
495;2;700;jin yang jie (wu cheng nan lu)
495;3;700;Jinyang St (Wucheng South Rd)
495;2;701;tai hang dong jie
495;3;701;Taihang East St
495;2;702;chang feng da qiao bei za dao qiao
495;3;702;Changfengdaqiaobeizadao Brg
495;2;708;shan xi sheng qing gong zhi ye ji shu xue yuan
495;3;708;Shanxishengqinggongzhiyejishuxueyuan
495;2;709;chang hua wan xiao qu
495;3;709;Changhuawanxiaoqu
495;2;710;ma dao po jie (cai xing jie)
