event_code, primary_location, direction, extent, diversion_advice, ltn, rds_cc, length_route_affected, speed_limit_advice, quantifier, supplementary_info, additional_event, detailed_diversion_instructions, destinations, cross_linkage_to_source_problem, start_unix_time, stop_unix_time, iso_cc, latitude, longitude, activate_unix_time, expire_unix_time, geocoded_location_list, iid, duration, control_code, separator, information_category
2050,12435,1,1,0,10,12,65535,30,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.1334,119.65815,1392188400,1392190200, ,0xeaedb31468af645934ef1ca3978e36d1,1,65535,255,218
2049,12436,0,1,0,10,12,65535,65,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.13418,119.6652,1392188400,1392190200, ,0x8f0bd51c2bf4abdc18f0a94d4683c1c1,1,65535,255,218
2049,12437,0,1,0,10,12,65535,83,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.13413,119.68391,1392188400,1392190200, ,0x09c27a21aa4e1f784279a49d1a5827b4,1,65535,255,218
2050,12438,1,1,0,10,12,65535,57,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.13764,119.69526,1392188400,1392190200, ,0xcf14497db899c2c1e6d870c0698c6fed,1,65535,255,218
2050,12438,0,1,0,10,12,65535,54,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.13764,119.69526,1392188400,1392190200, ,0x17b20f933008d6baea3380a79cecbfd4,1,65535,255,218
2050,12442,1,1,0,10,12,65535,48,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.09759,119.71962,1392188400,1392190200, ,0xe5df8dd3d8bb1deabf39cba808a6c1a1,1,65535,255,218
2049,12452,1,1,0,10,12,65535,34,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.0384,119.59167,1392188400,1392190200, ,0x5d2ff1722ce5fe6abdcce2097a5e7d46,1,65535,255,218
2050,12454,0,1,0,10,12,65535,36,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.04611,119.58303,1392188400,1392190200, ,0x591d9724d9bdc461bd779872dd98e13e,1,65535,255,218
2050,12462,1,1,0,10,12,65535,30,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.10553,119.53551,1392188400,1392190200, ,0x063364984f8d26746aa691d3cd606667,1,65535,255,218
2050,12463,0,1,0,10,12,65535,41,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.08939,119.54226,1392188400,1392190200, ,0x07c40f4a9bcddc751aef75770d200a8b,1,65535,255,218
