CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
512;22;1;A;1;0;1;
512;22;2;A;3;0;2;1
512;22;3;A;7;0;211;2
512;22;6;A;8;0;657;3
512;22;5;A;8;0;635;3
512;22;7;A;8;0;667;3
