CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
501;11;1;A;1;0;976;
501;11;2;A;3;0;977;1
501;11;3;A;7;0;978;2
501;11;6;A;8;0;455;3
501;11;11;A;8;0;493;3
501;11;8;A;8;0;474;3
501;11;4;A;8;0;426;3
501;11;10;A;8;0;489;3
501;11;13;A;8;0;511;3
501;11;14;A;8;0;517;3
501;11;9;A;8;0;611;3
501;11;5;A;8;0;441;3
501;11;7;A;8;0;470;3
501;11;12;A;8;0;501;3
