CID;TABCD;LCD;ALLOCATED
501;11;31511;1
501;11;31512;1
501;11;31514;1
501;11;31556;1
501;11;31557;1
501;11;31559;1
501;11;31538;1
501;11;31539;1
501;11;31540;1
501;11;31541;1
501;11;30627;1
501;11;31610;1
501;11;30628;1
501;11;30629;1
501;11;30630;1
501;11;30631;1
501;11;30632;1
501;11;30633;1
501;11;31676;1
501;11;31677;1
501;11;30791;1
501;11;30792;1
501;11;30790;1
501;11;31678;1
501;11;30793;1
501;11;30794;1
501;11;30795;1
501;11;30796;1
501;11;30797;1
501;11;30798;1
501;11;30799;1
501;11;31605;1
501;11;31615;1
501;11;31612;1
501;11;31613;1
501;11;31614;1
501;11;31442;1
501;11;31443;1
501;11;31444;1
501;11;31445;1
501;11;31210;1
501;11;31211;1
501;11;31212;1
501;11;31213;1
501;11;31214;1
501;11;31215;1
501;11;31437;1
501;11;31438;1
501;11;31439;1
501;11;31440;1
501;11;31441;1
501;11;31069;1
501;11;31070;1
501;11;31071;1
501;11;31072;1
501;11;31073;1
501;11;31201;1
501;11;31202;1
501;11;31203;1
501;11;31455;1
501;11;31456;1
501;11;31457;1
501;11;31458;1
501;11;31459;1
501;11;31460;1
501;11;31461;1
501;11;31462;1
501;11;31463;1
501;11;31464;1
501;11;31021;1
501;11;31022;1
501;11;31023;1
501;11;31024;1
501;11;31025;1
501;11;31395;1
501;11;31396;1
501;11;31397;1
501;11;31392;1
501;11;31393;1
501;11;31394;1
501;11;31483;1
501;11;31484;1
501;11;31485;1
501;11;30554;1
501;11;30555;1
501;11;30556;1
501;11;30557;1
501;11;30558;1
501;11;30559;1
501;11;30560;1
501;11;30561;1
501;11;30562;1
501;11;30563;1
501;11;30564;1
501;11;30870;1
501;11;30871;1
501;11;30872;1
501;11;30873;1
501;11;30874;1
501;11;30875;1
501;11;31142;1
501;11;31143;1
501;11;31144;1
501;11;31145;1
501;11;31674;1
501;11;31675;1
501;11;31146;1
501;11;31147;1
501;11;31148;1
501;11;31149;1
501;11;31150;1
501;11;30455;1
501;11;30456;1
501;11;30457;1
501;11;31268;1
501;11;31269;1
501;11;31270;1
501;11;31271;1
501;11;31272;1
501;11;31273;1
501;11;31274;1
501;11;30969;1
501;11;30970;1
501;11;30971;1
501;11;30972;1
501;11;30973;1
501;11;31479;1
501;11;31480;1
501;11;31481;1
501;11;31482;1
501;11;31240;1
501;11;31246;1
501;11;31241;1
501;11;31242;1
501;11;31243;1
501;11;31244;1
501;11;31245;1
501;11;31247;1
501;11;31248;1
501;11;31249;1
501;11;31546;1
501;11;31547;1
501;11;31548;1
501;11;31549;1
501;11;31550;1
501;11;31551;1
501;11;31552;1
501;11;31553;1
501;11;31554;1
501;11;31555;1
501;11;31579;1
501;11;31580;1
501;11;31581;1
501;11;31582;1
501;11;31413;1
501;11;31414;1
501;11;31415;1
501;11;31416;1
501;11;31417;1
501;11;30985;1
501;11;30986;1
501;11;30987;1
501;11;30988;1
501;11;30989;1
501;11;30990;1
501;11;30991;1
501;11;30992;1
501;11;30993;1
501;11;30994;1
501;11;30995;1
501;11;31066;1
501;11;31067;1
501;11;31068;1
501;11;31094;1
501;11;31095;1
501;11;31096;1
501;11;31101;1
501;11;31102;1
501;11;31103;1
501;11;31583;1
501;11;31584;1
501;11;31585;1
501;11;31002;1
501;11;31003;1
501;11;31004;1
501;11;31005;1
501;11;31006;1
501;11;31007;1
501;11;31008;1
501;11;31009;1
501;11;30928;1
501;11;30929;1
501;11;30930;1
501;11;30931;1
501;11;30933;1
501;11;30934;1
501;11;30935;1
501;11;30936;1
501;11;30937;1
501;11;30938;1
501;11;31353;1
501;11;31354;1
501;11;31355;1
501;11;31356;1
501;11;31171;1
501;11;31172;1
501;11;31173;1
501;11;31174;1
501;11;31299;1
501;11;31300;1
501;11;31301;1
501;11;31302;1
