CID;LID;NID;NTRANSLATION
59;3;165;E Daming Rd
59;2;166;li yang lu
59;3;166;Liyang Rd
59;2;167;lin tong lu
59;3;167;Lintong Rd
59;2;169;pu dong nan lu
59;3;169;Pudong Rd (S)
59;2;172;si chuan bei lu
59;3;172;Sichuan Rd (N)
59;2;174;feng xiang lu
59;3;174;Fengxiang Rd
59;2;178;fu jian zhong lu
59;3;178;Fujian Rd (M)
59;2;179;yan an gao jia bei ce
59;3;179;Yan'an Viad N
59;2;180;fu zhou lu
59;3;180;Fuzhou Rd
59;2;183;fu xing dong lu
59;3;183;Fuxing Rd (E)
59;2;184;xi zang nan lu
59;3;184;Xizang Rd (S)
59;2;185;zhong shan nan lu
59;3;185;Zhongshan Rd (S)
59;2;186;fu xing dong lu sui dao
59;3;186;Fuxing East Road Tunnel
59;2;188;zhang yang lu
59;3;188;Zhangyang Rd
59;2;189;fu xing xi lu
59;3;189;Fuxing Rd (W)
59;2;195;fu chang lu
59;3;195;Fuchang Rd
59;2;197;gang cheng lu
59;3;197;Gangcheng Rd
59;2;199;yang gao bei yi lu
59;3;199;Yanggao No.1 Rd (N)
59;2;202;gao ke dong lu
59;3;202;Gaoke East Rd
59;2;203;wai huan gao su gong lu wai quan
59;3;203;Outer Ring Hwy Outside Ring
59;2;204;gao ke xi lu
59;3;204;Gaoke Rd (W)
59;2;206;luo shan lu
59;3;206;Luoshan Rd
59;2;207;gao ke zhong lu
59;3;207;Gaoke Middle Rd
59;2;210;gong he li jiao
59;3;210;Gonghe Jct
59;2;215;nan bei gao jia dong ce
59;3;215;Nanbei Viad E
59;2;220;hu ma lu
59;3;220;Huma Rd
59;2;224;gu yang lu
59;3;224;Guyang Rd
59;2;227;hong xu lu
59;3;227;Hongxu Rd
59;2;228;song yuan lu
59;3;228;Songyuan Rd
59;2;229;gu dai lu
59;3;229;Gudai Rd
59;2;237;hong mei lu
59;3;237;Hongmei Rd
59;2;238;guang xin lu
59;3;238;Guangxin Rd
59;2;240;zhi dan lu
59;3;240;Zhidan Rd
59;2;241;guang yue lu
59;3;241;Guangyue Rd
59;2;246;zhu zhou lu
59;3;246;Zhuzhou Rd
59;2;255;guang zhong xi lu
59;3;255;Guangzhong Rd (W)
59;2;261;hu min lu
59;3;261;Humin Rd
59;2;262;wu zhong lu
59;3;262;Wuzhong Rd
59;2;263;guo he lu
59;3;263;Guohe Rd
59;2;267;hai ning lu
59;3;267;Haining Rd
59;2;270;hai xu lu
59;3;270;Haixu Rd
59;2;275;han dan lu
59;3;275;Handan Rd
59;2;277;xiang yin lu
59;3;277;Xiangyin Rd
59;2;278;han dan lu bei ce
59;3;278;Handan Rd N
59;2;283;pu dong bei lu
59;3;283;Pudong Rd (N)
59;2;285;he jian lu
59;3;285;Hejian Rd
59;2;291;lu jia bang lu
59;3;291;Lujiabang Rd
59;2;296;heng feng bei lu
59;3;296;Hengfeng Rd (N)
59;2;297;heng feng lu
59;3;297;Hengfeng Rd
59;2;302;heng shan lu
59;3;302;Hengshan Rd
59;2;305;hong jing lu
59;3;305;Hongjing Rd
59;2;307;hong mei li jiao
59;3;307;Hongmei Jct
59;2;315;cheng jia qiao zhi lu
59;3;315;Chengjiaqiao Byp
59;2;319;wai huan gao su gong lu wai ce ru kou za dao
59;3;319;Outer Ring Hwy Outside Entrance Ramp
59;2;323;hong qiao ji chang
59;3;323;Hongqiaojichang
59;2;326;ying bin yi lu
59;3;326;Yingbinyi Rd
59;2;327;zhao jia bang lu
59;3;327;Zhaojiabang Rd
59;2;328;hong qiao lu 2489 long
59;3;328;Hongqiaoluersibajiu Ln
59;2;341;hu jia gao su gong lu
59;3;341;Hujia Hwy
59;2;347;hu min gao jia bei ce
59;3;347;Humin Viad N
59;2;356;shang hai nan zhan
59;3;356;Shanghai South Railway Station
59;2;362;hu min gao jia lu bei
59;3;362;Humin Viad N
59;2;364;hu min gao jia lu nan
59;3;364;Humin Viad S
59;2;365;zhong huan lu dong ce
59;3;365;Middle Ring Rd E
59;2;366;hu min gao jia lu xi
59;3;366;Humin Viad W
59;2;368;hu min gao jia nan ce
59;3;368;Humin Viad S
59;2;392;hu min gong lu
59;3;392;Humin Hwy
59;2;393;long cao lu
59;3;393;Longcao Rd
59;2;404;wai huan gao su gong lu nei quan za dao
59;3;404;Outer Ring Hwy Inside Ring Ramp
59;2;418;wai huan gao su gong lu nei ce chu kou
59;3;418;Outer Ring Hwy Inside Eixt Ramp
59;2;422;wai huan gao su gong lu wai ce chu kou
59;3;422;Outer Ring Hwy Outside Eixt Ramp
59;2;426;da tong lu
59;3;426;Datong Rd
59;2;428;hua mu lu
59;3;428;Huamu Rd
59;2;436;hua xia dong lu
59;3;436;Huaxia Rd (E)
59;2;439;yang lian lu
59;3;439;Yanglian Rd
59;2;441;hua xia zhong lu
59;3;441;Huaxia Rd (M)
59;2;446;huai hai dong lu
59;3;446;Huaihai Rd (E)
59;2;451;fa hua zhen lu
59;3;451;Fahuazhen Rd
59;2;458;zhou hai lu
59;3;458;Zhouhai Rd
59;2;461;wai huan gao su gong lu nei ce
59;3;461;Outer Ring Hwy Inside
59;2;462;huang pi bei lu
59;3;462;Huangpi Rd (N)
59;2;468;huang xing lu
59;3;468;Huangxing Rd
59;2;475;ji nian lu
59;3;475;Jinian Rd
59;2;479;ji yang lu
59;3;479;Jiyang Rd
59;2;485;yao hua lu
59;3;485;Yaohua Rd
59;2;487;zhao zhou lu
59;3;487;Zhaozhou Rd
59;2;488;lu ban lu
59;3;488;Luban Rd
59;2;489;jian guo xi lu
59;3;489;Jianguo Rd (W)
59;2;492;jian guo xin lu
59;3;492;Jianguoxin Rd
59;2;514;zhen nan lu
59;3;514;Zhennan Rd
59;2;516;jin hai lu
59;3;516;Jinhai Rd
59;2;524;cai lun lu
59;3;524;Cailun Rd
59;2;528;zhong shan dong er lu
59;3;528;Zhongshan Rd (E-2)
59;2;530;chong qing zhong lu
59;3;530;Chongqing Rd (M)
59;2;532;jin ling zhong lu
59;3;532;Jinling Rd (M)
59;2;547;feng zhuang xi lu
59;3;547;Fengzhuang Rd (W)
59;2;550;chen guang lu
59;3;550;Chenguang Rd
59;2;558;ju feng lu
59;3;558;Jufeng Rd
59;2;564;chuan an lu
59;3;564;Chuan'an Rd
59;2;570;li ping lu
59;3;570;Liping Rd
59;2;572;jun gong lu li jiao
59;3;572;Jungong Rd Jct
59;2;580;kang qiao dong lu
59;3;580;Kangqiao Rd (E)
59;2;590;ping liang lu
59;3;590;Pingliang Rd
59;2;601;lian yi lu
59;3;601;Lianyi Rd
59;2;608;ling hai lu
59;3;608;Linghai Rd
59;2;616;long wu lu
59;3;616;Longwu Rd
59;2;624;long hua xi lu
59;3;624;Longhua Rd (W)
59;2;626;long hua lu
59;3;626;Longhua Rd
59;2;639;ying kou lu
59;3;639;Yingkou Rd
59;2;641;yan an gao jia nan ce
59;3;641;Yan'an Viad S
59;2;642;lu ban li jiao
59;3;642;Luban Jct
59;2;650;lu ban li jiao ru kou
59;3;650;Luban Jct Entrance Ramp
59;2;658;zhi zao ju lu
59;3;658;Zhizaoju Rd
59;2;660;lu jia zui dong lu
59;3;660;Lujiazui Rd (E)
59;2;663;lu jia zui xi lu
59;3;663;Lujiazui Rd (W)
59;2;664;bin jiang da dao
59;3;664;Binjiang Blvd
59;2;675;mao ming bei lu
59;3;675;Maoming Rd (N)
59;2;678;mao ming lu
59;3;678;Maoming Rd
59;2;685;ming yue lu
59;3;685;Mingyue Rd
59;2;686;hei song lu
59;3;686;Heisong Rd
59;2;687;hong feng lu
59;3;687;Hongfeng Rd
59;2;712;yan xi li jiao
59;3;712;Yanxi Jct
59;2;714;zhen ping lu
59;3;714;Zhenping Rd
59;2;719;nei huan gao jia wai ce
59;3;719;Inner Ring Viad Outside
59;2;759;nei huan gong he li jiao
59;3;759;Inner Ring Gonghe Jct
59;2;776;lin fen lu
59;3;776;Linfen Rd
59;2;786;yan an gao jia
59;3;786;Yan'an Viad
59;2;788;yan chang lu
59;3;788;Yanchang Rd
59;2;790;yan dong li jiao
59;3;790;Yandong Jct
59;2;792;yan dong li jiao chu kou
59;3;792;Yandong Jct Exit Ramp
59;2;794;yan dong li jiao chu kou (wai tan fang xiang)
59;3;794;Yandong Jct Exit Ramp (Waitanfangxiang)
59;2;796;yong xing lu
59;3;796;Yongxing Rd
59;2;798;zhong huan gong he li jiao
59;3;798;Middle Ring Gonghe Jct
59;2;800;zhong huan gong he li jiao chu kou (xiang yin lu sui dao fang xiang)
59;3;800;Middle Ring Gonghe Jct Exit Ramp (Xiangyinlusuidaofangxiang)
59;2;802;zhong huan gong he li jiao chu kou (yuan ping lu fang xiang)
59;3;802;Middle Ring Gonghe Jct Exit Ramp (Yuanpinglufangxiang)
59;2;805;wen chuan gong lu
59;3;805;Wenchuan Hwy
59;2;807;nei huan gao jia lu xi
59;3;807;Inner Ring Viad W
59;2;808;nan bei gao jia lu dong
59;3;808;Nanbei Viad E
59;2;810;nan bei gao jia lu xi ce
59;3;810;Nanbei Viad W
59;2;811;yun chuan lu
59;3;811;Yunchuan Rd
59;2;819;nei huan gong he li jiao chu kou (hu tai lu fang xiang)
59;3;819;Inner Ring Gonghe Jct Exit Ramp (Hutailufangxiang)
59;2;837;yan dong li jiao chu kou (hong qiao ji chang fang xiang)
59;3;837;Yandong Jct Exit Ramp (Hongqiaojichangfangxiang)
59;2;847;zhong huan lu wai quan
59;3;847;Middle Ring Rd Outside Ring
59;2;848;nan da lu
59;3;848;Nanda Rd
59;2;851;zhen chen lu
59;3;851;Zhenchen Rd
59;2;856;ning guo lu
59;3;856;Ningguo Rd
59;2;866;zhang jia bang lu
59;3;866;Zhangjiabang Rd
59;2;885;tang qi lu
59;3;885;Tangqi Rd
59;2;887;yun ling xi lu
59;3;887;Yunling Rd (W)
59;2;899;fang bang dong lu
59;3;899;Fangbang East Rd
59;2;911;san lu lu
59;3;911;Sanlu Rd
59;2;932;ping fu lu
59;3;932;Pingfu Rd
59;2;961;song hu lu
