CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
359;8;1;A;1;0;3324;
359;8;2;A;3;0;3325;1
359;8;12051;A;7;0;265;2
359;8;12052;A;8;0;218;12051
