CID;LID;NID;NTRANSLATION
519;2;400;dong jiu dao
519;3;400;Dongjiu Ave
519;2;401;dong jin lu
519;3;401;Dongjin Rd
519;2;403;zhong xin zhuang lu
519;3;403;Zhongxinzhuang Rd
519;2;415;chen yong lu
519;3;415;Chenyong Rd
519;2;417;bei yi dao
519;3;417;Beiyi Ave
519;2;449;hai guang lu
519;3;449;Haiguang Rd
519;2;459;bin shui xi dao yan chang xian
519;3;459;Binshuixidaoyanchang Line
519;2;464;jin hai dao
519;3;464;Jinhai Ave
519;2;468;jin jin gao su gong lu
519;3;468;Jinjin Hwy
519;2;482;gao xin da dao
519;3;482;Gaoxin Blvd
519;2;487;jing jin tang gao su gong lu
519;3;487;Jingjintang Hwy
519;2;490;wen yong ku zi lu
519;3;490;Wenyongkuzi Rd
519;2;496;jin gu gong lu
519;3;496;Jingu Hwy
519;2;508;xing hua dao
519;3;508;Xinghua Ave
519;2;509;yu shui lu
519;3;509;Yushui Rd
519;2;510;ai di sheng dao
519;3;510;Aidisheng Ave
519;2;513;G104
519;3;513;G104
519;2;515;S112
519;3;515;S112
519;2;518;liu xia lu
519;3;518;Liuxia Rd
519;2;524;jin jing fu xian
519;3;524;Jinjing Line
519;2;531;xu hua dao
519;3;531;Xuhua Ave
519;2;532;chun xi dao
519;3;532;Chunxi Ave
519;2;538;wai huan xian
519;3;538;Outer Ring Line
519;2;539;jin yong gong lu
519;3;539;Jinyong Hwy
519;2;546;xi qing dao
519;3;546;Xiqing Ave
519;2;556;yu zhuang zi lu
519;3;556;Yuzhuangzi Rd
519;2;559;jin bin gao su gong lu
519;3;559;Jinbin Hwy
519;2;560;bei han lu
519;3;560;Beihan Rd
519;2;563;chen chang lu
519;3;563;Chenchang Rd
519;2;565;long zhou dao
519;3;565;Longzhou Ave
519;2;566;long yan dao
519;3;566;Longyan Ave
519;2;567;long men dao
519;3;567;Longmen Ave
519;2;568;long quan dao
519;3;568;Longquan Ave
519;2;569;jia ning dao
519;3;569;Jianing Ave
519;2;570;jia qing dao
519;3;570;Jiaqing Ave
519;2;571;ding zi gu san hao lu
519;3;571;Dingzigusanhao Rd
519;2;574;tang jia wan heng di
519;3;574;Tangjiawanhengdi
519;2;575;ben xi lu
519;3;575;Benxi Rd
519;2;576;xian yang bei lu
519;3;576;Xianyang North Rd
519;2;577;bai jiu chang da dao
519;3;577;Baijiuchang Blvd
519;2;578;qin jian dao
519;3;578;Qinjian Ave
519;2;579;wu ai dao
519;3;579;Wuai Ave
519;2;581;xin hong lu
519;3;581;Xinhong Rd
519;2;583;wu zhong hou da dao
519;3;583;Wuzhong Back Blvd
519;2;584;hong qiao bei da jie
519;3;584;Hongqiao North Ave
519;2;591;he bei da jie
519;3;591;Hebei Ave
519;2;592;cheng xiang zhong lu
519;3;592;Chengxiang Middle Rd
519;2;595;qing yuan lu
519;3;595;Qingyuan Rd
519;2;600;xin hua dao
519;3;600;Xinhua Ave
519;2;602;qing zhi lu
519;3;602;Qingzhi Rd
519;2;623;xiang jiang dao
519;3;623;Xiangjiang Ave
519;2;624;qiong zhou dao
519;3;624;Qiongzhou Ave
519;2;631;tai er zhuang lu
519;3;631;Taierzhuang Rd
519;2;634;liu wei lu
519;3;634;Liuwei Rd
519;2;635;ba wei lu
519;3;635;Bawei Rd
519;2;636;hong xing lu
519;3;636;Hongxing Rd
519;2;639;jing jiang lu
519;3;639;Jingjiang Rd
519;2;642;chen yang dao
519;3;642;Chenyang Ave
519;2;644;chang zhou dao
519;3;644;Changzhou Ave
519;2;650;qi wei lu
519;3;650;Qiwei Rd
519;2;652;jiu wei lu
519;3;652;Jiuwei Rd
519;2;656;jiu jing lu
519;3;656;Jiujing Rd
519;2;657;shi jing lu
519;3;657;Shijing Rd
519;2;658;shi yi jing lu
519;3;658;Shiyijing Rd
519;2;659;shi san jing lu
519;3;659;Shisanjing Rd
519;2;666;da gu nan lu
519;3;666;Dagu South Rd
519;2;667;wei di dao
519;3;667;Weidi Ave
519;2;668;jie fang nan lu
519;3;668;Jiefang South Rd
519;2;669;tai hu lu
519;3;669;Taihu Rd
519;2;670;hei niu cheng dao
519;3;670;Heiniucheng Ave
519;2;671;wei shan lu
519;3;671;Weishan Rd
519;2;672;zhu jiang dao
519;3;672;Zhujiang Ave
519;2;678;jing shui dao
519;3;678;Jingshui Ave
519;2;679;ling shi lu
519;3;679;Lingshi Rd
519;2;694;huan jing bei lu
519;3;694;Huanjing North Rd
519;2;695;huan rui bei lu
519;3;695;Huanrui North Rd
519;2;696;rui jing xi dao
519;3;696;Ruijing West Ave
519;2;697;rui da bei lu
519;3;697;Ruida North Rd
519;2;718;chen yuan lu
519;3;718;Chenyuan Rd
519;2;723;chen tong lu
519;3;723;Chentong Rd
519;2;726;chen da lu
519;3;726;Chenda Rd
519;2;727;huan rui nan lu
519;3;727;Huanrui South Rd
519;2;730;guang rong dao
519;3;730;Guangrong Ave
519;2;731;chen sheng lu
519;3;731;Chensheng Rd
519;2;737;chen xing lu
519;3;737;Chenxing Rd
519;2;742;chen wang lu
519;3;742;Chenwang Rd
519;2;746;long yang dao
519;3;746;Longyang Ave
519;2;759;hong hu bei lu
519;3;759;Honghu North Rd
519;2;762;tian tai lu
519;3;762;Tiantai Rd
519;2;763;ding zi gu yi hao lu
519;3;763;Dingziguyihao Rd
519;2;764;tang jia wan da dao
519;3;764;Tangjiawan Blvd
519;2;773;yan men lu
519;3;773;Yanmen Rd
519;2;778;jun sheng lu
519;3;778;Junsheng Rd
519;2;779;yi jie lu
519;3;779;Yijie Rd
519;2;780;yi qing lu
519;3;780;Yiqing Rd
519;2;787;dong ma lu
519;3;787;Dongmalu
