CID;LID;CLASS;TCD;STCD;STRANSLATION
519;1;A;1;0;大洲
519;1;A;3;0;国家
519;1;A;7;0;一级区域
519;1;A;8;0;二级区域
519;1;L;1;1;高速
519;1;P;1;3;高速公路节点
519;1;P;3;3;服务区
519;1;P;1;1;高速公路立交
519;1;L;1;2;一级公路
519;1;P;1;10;信号交叉口
519;1;P;1;12;T-型交叉路口
519;1;P;1;6;跨线桥
519;1;P;1;11;无信号交叉口
519;1;L;3;0;一级路段
519;1;L;1;3;二级公路
519;1;L;1;4;三级公路
519;1;P;1;8;环形交叉口
519;1;P;1;7;下穿道路
519;1;P;1;13;中间节点
519;1;P;1;9;大型中心环岛
519;1;P;3;2;桥梁
519;1;P;3;8;泊车区
519;1;L;2;2;其它环路
519;1;P;3;1;隧道
