CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
519;29;1;A;1;0;1;
519;29;2;A;3;0;2;1
519;29;1413;A;7;0;3;2
519;29;3;A;8;0;1391;1413
