CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
497;7;1;A;1;0;2046;
497;7;2;A;3;0;2047;1
497;7;3;A;7;0;2048;2
497;7;4;A;8;0;1324;3
497;7;6;A;8;0;1291;3
497;7;5;A;8;0;1271;3
