CID;TABCD;LCD;ALLOCATED
510;20;1712;1
510;20;1713;1
510;20;1714;1
510;20;1715;1
510;20;711;1
510;20;709;1
510;20;713;1
510;20;1776;1
510;20;714;1
510;20;1817;1
510;20;1818;1
510;20;1819;1
510;20;808;1
510;20;809;1
510;20;1052;1
510;20;810;1
510;20;1557;1
510;20;1558;1
510;20;1559;1
510;20;779;1
510;20;780;1
510;20;781;1
510;20;1053;1
510;20;782;1
510;20;805;1
510;20;806;1
510;20;807;1
510;20;1430;1
510;20;1431;1
510;20;1432;1
510;20;1433;1
510;20;536;1
510;20;1054;1
510;20;1055;1
510;20;537;1
510;20;538;1
510;20;539;1
510;20;1810;1
510;20;1811;1
510;20;1812;1
510;20;691;1
510;20;1056;1
510;20;692;1
510;20;693;1
510;20;1057;1
510;20;694;1
510;20;316;1
510;20;317;1
510;20;628;1
510;20;629;1
510;20;630;1
510;20;631;1
510;20;632;1
510;20;1059;1
510;20;633;1
510;20;634;1
510;20;635;1
510;20;338;1
510;20;339;1
510;20;336;1
510;20;337;1
510;20;357;1
510;20;358;1
510;20;262;1
510;20;263;1
510;20;514;1
510;20;515;1
510;20;516;1
510;20;517;1
510;20;1064;1
510;20;518;1
510;20;519;1
510;20;1710;1
510;20;1062;1
510;20;1063;1
510;20;1711;1
510;20;1795;1
510;20;506;1
510;20;507;1
510;20;1003;1
510;20;508;1
510;20;1066;1
510;20;1068;1
510;20;1069;1
510;20;1061;1
510;20;1340;1
510;20;1341;1
510;20;1342;1
510;20;270;1
510;20;271;1
510;20;268;1
510;20;269;1
510;20;278;1
510;20;279;1
510;20;361;1
510;20;362;1
510;20;703;1
510;20;1499;1
510;20;704;1
510;20;1070;1
510;20;705;1
510;20;706;1
510;20;707;1
510;20;540;1
510;20;541;1
510;20;542;1
510;20;1195;1
510;20;1196;1
510;20;1197;1
510;20;1616;1
510;20;1617;1
510;20;1618;1
510;20;1619;1
510;20;229;1
510;20;230;1
510;20;248;1
510;20;249;1
510;20;258;1
510;20;259;1
510;20;252;1
510;20;253;1
510;20;210;1
510;20;214;1
510;20;215;1
510;20;217;1
510;20;218;1
510;20;219;1
510;20;240;1
510;20;241;1
510;20;233;1
510;20;234;1
510;20;1491;1
510;20;1492;1
510;20;1493;1
510;20;1494;1
510;20;1495;1
510;20;1496;1
510;20;1497;1
510;20;231;1
510;20;232;1
510;20;242;1
510;20;243;1
510;20;1720;1
510;20;1721;1
510;20;1722;1
510;20;1723;1
510;20;1724;1
510;20;1725;1
510;20;1726;1
510;20;1727;1
510;20;284;1
510;20;285;1
510;20;260;1
510;20;261;1
510;20;286;1
510;20;287;1
510;20;272;1
510;20;273;1
510;20;211;1
510;20;221;1
510;20;222;1
510;20;345;1
510;20;344;1
510;20;220;1
510;20;216;1
510;20;349;1
510;20;350;1
510;20;353;1
510;20;354;1
510;20;355;1
510;20;356;1
510;20;1483;1
510;20;1484;1
510;20;1485;1
510;20;1486;1
510;20;1487;1
510;20;1488;1
510;20;1489;1
510;20;1092;1
510;20;1490;1
510;20;1581;1
510;20;1582;1
510;20;1583;1
510;20;1584;1
510;20;1585;1
510;20;264;1
510;20;265;1
510;20;266;1
510;20;267;1
510;20;282;1
510;20;283;1
510;20;276;1
510;20;277;1
510;20;363;1
510;20;364;1
510;20;324;1
510;20;325;1
510;20;212;1
510;20;235;1
510;20;368;1
510;20;204;1
510;20;205;1
510;20;206;1
510;20;369;1
510;20;207;1
510;20;342;1
510;20;208;1
510;20;290;1
510;20;291;1
510;20;294;1
510;20;295;1
510;20;318;1
510;20;319;1
510;20;314;1
510;20;315;1
510;20;302;1
510;20;303;1
510;20;310;1
510;20;311;1
510;20;453;1
510;20;474;1
510;20;1077;1
510;20;1078;1
510;20;460;1
510;20;1498;1
510;20;461;1
510;20;462;1
510;20;463;1
510;20;1093;1
510;20;464;1
510;20;1344;1
510;20;300;1
510;20;301;1
510;20;320;1
510;20;321;1
