CID;LID;NID;NTRANSLATION
510;2;1155;guan jing lu
510;3;1155;Guanjing Rd
510;2;1160;dong san huan lu
510;3;1160;E 3rd Ring Rd
510;2;1163;hong ta dong lu
510;3;1163;Hongta East Rd
510;2;1165;ying hai lu
510;3;1165;Yinghai Rd
510;2;1166;qi xiang lu
510;3;1166;Qixiang Rd
510;2;1167;yong ping lu
510;3;1167;Yongping Rd
510;2;1168;guan tong lu
510;3;1168;Guantong Rd
510;2;1169;shu lin jie
510;3;1169;Shulin St
510;2;1172;jin wa lu
510;3;1172;Jinwa Rd
510;2;1173;yi ning lu
510;3;1173;Yining Rd
510;2;1175;xing yuan lu
510;3;1175;Xingyuan Rd
510;2;1176;chang yuan nan lu
510;3;1176;Changyuan South Rd
510;2;1177;ke yi lu
510;3;1177;Keyi Rd
510;2;1178;ke fa lu
510;3;1178;Kefa Rd
510;2;1179;jin hua pu lu
510;3;1179;Jinhuapu Rd
510;2;1180;dan xia lu
510;3;1180;Danxia Rd
510;2;1181;jin ma lu
510;3;1181;Jinmalu
510;2;1184;chang yuan zhong lu
510;3;1184;Changyuan Middle Rd
510;2;1185;ke hai lu
510;3;1185;Kehai Rd
510;2;1186;hai yuan zhong lu
510;3;1186;Haiyuan Middle Rd
510;2;1190;yun rui dong lu
510;3;1190;Yunrui East Rd
510;2;1191;xin ying lu
510;3;1191;Xinying Rd
510;2;1192;hong shan dong lu
510;3;1192;Hongshan East Rd
510;2;1193;min yuan lu
510;3;1193;Minyuan Rd
510;2;1194;chang yuan bei lu
510;3;1194;Changyuan North Rd
510;2;1195;hai yuan bei lu
510;3;1195;Haiyuan North Rd
510;2;1196;hai tun lu
510;3;1196;Haitun Rd
510;2;1197;cui hu nan lu
510;3;1197;Cuihu South Rd
510;2;1198;cui hu xi lu
510;3;1198;Cuihu West Rd
510;2;1199;hua shan xi lu
510;3;1199;Huashan West Rd
510;2;1200;ru yi xiang
510;3;1200;Ruyi Ln
510;2;1201;hua shan nan lu
510;3;1201;Huashan South Rd
510;2;1202;hua shan dong lu
510;3;1202;Huashan East Rd
510;2;1203;bei men jie
510;3;1203;Beimen St
510;2;1205;long xiang jie
510;3;1205;Longxiang St
510;2;1206;wen lin jie
510;3;1206;Wenlin St
510;2;1207;cui hu bei lu
510;3;1207;Cuihu North Rd
510;2;1208;cui hu dong lu
510;3;1208;Cuihu East Rd
510;2;1209;qing yun jie
510;3;1209;Qingyun St
510;2;1210;ke guang lu
510;3;1210;Keguang Rd
510;2;1211;hong yuan lu
510;3;1211;Hongyuan Rd
510;2;1212;ke jin lu
510;3;1212;Kejin Rd
510;2;1213;ke gao lu
510;3;1213;Kegao Rd
