CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
500;10;1;A;1;0;23212400;
500;10;2;A;3;0;23212401;1
500;10;3;A;7;0;23212402;2
500;10;10;A;8;0;19478381;3
500;10;8;A;8;0;22946171;3
500;10;6;A;8;0;15143380;3
500;10;12;A;8;0;20009639;3
500;10;4;A;8;0;11273860;3
500;10;11;A;8;0;19478424;3
500;10;9;A;8;0;6607917;3
500;10;7;A;8;0;4738757;3
500;10;5;A;8;0;933871;3
