CID;TABCD;LCD;ALLOCATED
513;23;3892;1
513;23;1850;1
513;23;335;1
513;23;336;1
513;23;345;1
513;23;346;1
513;23;2361;1
513;23;2362;1
513;23;2365;1
513;23;2366;1
513;23;2363;1
513;23;2364;1
513;23;956;1
513;23;957;1
513;23;958;1
513;23;959;1
513;23;960;1
513;23;347;1
513;23;348;1
513;23;353;1
513;23;354;1
513;23;349;1
513;23;350;1
513;23;351;1
513;23;352;1
513;23;367;1
513;23;368;1
513;23;373;1
513;23;374;1
513;23;343;1
513;23;344;1
513;23;357;1
513;23;358;1
513;23;359;1
513;23;360;1
513;23;363;1
513;23;364;1
513;23;361;1
513;23;362;1
513;23;381;1
513;23;382;1
513;23;375;1
513;23;376;1
513;23;2469;1
513;23;2470;1
513;23;998;1
513;23;996;1
513;23;1000;1
513;23;3849;1
513;23;1973;1
513;23;1974;1
513;23;1975;1
513;23;941;1
513;23;942;1
513;23;943;1
513;23;1983;1
513;23;1984;1
513;23;1985;1
513;23;1986;1
513;23;3914;1
513;23;3915;1
513;23;3916;1
513;23;3917;1
513;23;618;1
513;23;621;1
513;23;620;1
513;23;619;1
513;23;625;1
513;23;627;1
513;23;626;1
513;23;1250;1
513;23;1648;1
513;23;1256;1
513;23;4032;1
513;23;4033;1
513;23;3631;1
513;23;3634;1
513;23;3635;1
513;23;3636;1
513;23;4438;1
513;23;3632;1
513;23;3633;1
513;23;4439;1
513;23;4097;1
513;23;4098;1
513;23;1647;1
513;23;909;1
513;23;910;1
513;23;911;1
513;23;912;1
513;23;3438;1
513;23;3439;1
513;23;3440;1
513;23;3313;1
513;23;4194;1
513;23;3315;1
513;23;1524;1
513;23;1526;1
513;23;1525;1
513;23;3521;1
513;23;3522;1
513;23;3523;1
513;23;806;1
513;23;807;1
513;23;808;1
513;23;809;1
513;23;1518;1
513;23;1519;1
513;23;1520;1
513;23;1521;1
513;23;1523;1
513;23;1522;1
513;23;4378;1
513;23;3640;1
513;23;4380;1
513;23;3641;1
513;23;2210;1
513;23;2211;1
513;23;2212;1
513;23;2043;1
513;23;2044;1
513;23;2045;1
513;23;1216;1
513;23;1219;1
513;23;1218;1
513;23;1217;1
513;23;1209;1
513;23;1212;1
513;23;1211;1
513;23;1210;1
513;23;1213;1
513;23;1215;1
513;23;1214;1
513;23;2187;1
513;23;2188;1
513;23;2189;1
513;23;3812;1
513;23;3813;1
513;23;3814;1
513;23;3815;1
513;23;3816;1
513;23;3817;1
513;23;3818;1
513;23;355;1
513;23;356;1
513;23;365;1
513;23;366;1
513;23;2347;1
513;23;2348;1
513;23;299;1
513;23;300;1
513;23;309;1
513;23;310;1
513;23;327;1
513;23;328;1
513;23;333;1
513;23;334;1
513;23;329;1
513;23;330;1
513;23;331;1
513;23;332;1
513;23;2761;1
513;23;2762;1
513;23;2763;1
513;23;2764;1
513;23;2741;1
513;23;2742;1
513;23;2743;1
513;23;2744;1
513;23;2781;1
513;23;2782;1
513;23;261;1
513;23;262;1
513;23;263;1
513;23;264;1
513;23;267;1
513;23;268;1
513;23;265;1
513;23;266;1
513;23;2319;1
513;23;2320;1
513;23;2321;1
513;23;2322;1
513;23;2353;1
513;23;2354;1
513;23;2335;1
513;23;2336;1
513;23;2337;1
513;23;2338;1
513;23;2339;1
513;23;2340;1
513;23;385;1
513;23;386;1
513;23;387;1
513;23;388;1
513;23;271;1
513;23;272;1
513;23;277;1
513;23;278;1
513;23;273;1
513;23;274;1
513;23;275;1
513;23;276;1
513;23;2265;1
513;23;2266;1
513;23;2277;1
513;23;2278;1
513;23;2279;1
513;23;2280;1
513;23;2281;1
513;23;2282;1
513;23;2757;1
513;23;2758;1
513;23;369;1
513;23;370;1
513;23;379;1
513;23;380;1
513;23;311;1
513;23;312;1
513;23;323;1
513;23;324;1
513;23;2309;1
513;23;2310;1
513;23;2299;1
513;23;2300;1
513;23;285;1
513;23;286;1
513;23;337;1
513;23;338;1
513;23;339;1
513;23;340;1
513;23;341;1
513;23;342;1
513;23;391;1
513;23;392;1
513;23;393;1
513;23;394;1
513;23;395;1
513;23;396;1
513;23;2759;1
513;23;2760;1
513;23;2745;1
513;23;2746;1
513;23;251;1
513;23;252;1
513;23;253;1
513;23;254;1
513;23;255;1
513;23;256;1
513;23;2313;1
513;23;2314;1
513;23;2315;1
513;23;2316;1
513;23;2345;1
513;23;2346;1
513;23;2325;1
513;23;2326;1
513;23;2327;1
513;23;2328;1
513;23;2329;1
513;23;2330;1
513;23;281;1
513;23;282;1
513;23;283;1
513;23;284;1
513;23;2289;1
513;23;2290;1
513;23;2275;1
513;23;2276;1
513;23;2293;1
513;23;2294;1
513;23;2287;1
513;23;2288;1
513;23;2291;1
513;23;2292;1
513;23;2765;1
513;23;2766;1
513;23;2773;1
513;23;2774;1
513;23;371;1
