CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
522;32;1;A;1;0;1;
522;32;2;A;3;0;2;1
522;32;3;A;7;0;1311;2
522;32;1348;A;8;0;3;3
