CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
493;3;2895;493;3;2858
493;3;4157;493;3;4188
493;3;4188;493;3;4157
493;3;2861;493;3;2863
493;3;2863;493;3;2861
493;3;4173;493;3;4174
493;3;4174;493;3;4173
493;3;487;493;3;668
493;3;668;493;3;487
493;3;488;493;3;549
493;3;549;493;3;488
493;3;489;493;3;545
493;3;545;493;3;629
493;3;629;493;3;672
493;3;672;493;3;489
493;3;501;493;3;507
493;3;507;493;3;2693
493;3;2693;493;3;2695
493;3;2695;493;3;501
493;3;503;493;3;594
493;3;594;493;3;503
493;3;505;493;3;576
493;3;576;493;3;670
493;3;670;493;3;505
493;3;1276;493;3;2511
493;3;2511;493;3;1276
493;3;522;493;3;1457
493;3;1457;493;3;522
493;3;226;493;3;728
493;3;728;493;3;4579
493;3;4579;493;3;226
493;3;2870;493;3;2872
493;3;2872;493;3;2870
493;3;2906;493;3;2908
493;3;2908;493;3;2906
493;3;304;493;3;306
493;3;306;493;3;304
493;3;2635;493;3;2639
493;3;2639;493;3;2641
493;3;2641;493;3;2635
493;3;2526;493;3;2528
493;3;2528;493;3;2526
493;3;439;493;3;2529
493;3;2529;493;3;439
493;3;4471;493;3;4473
493;3;4473;493;3;4471
493;3;1269;493;3;4469
493;3;4469;493;3;1269
493;3;543;493;3;556
493;3;556;493;3;4470
493;3;4470;493;3;543
493;3;2645;493;3;2647
493;3;2647;493;3;2645
493;3;779;493;3;2648
493;3;2648;493;3;779
493;3;402;493;3;461
493;3;461;493;3;402
493;3;403;493;3;612
493;3;612;493;3;403
493;3;4273;493;3;4275
493;3;4275;493;3;4273
493;3;3072;493;3;3074
493;3;3074;493;3;3072
493;3;4293;493;3;4295
493;3;4295;493;3;4300
493;3;4300;493;3;4293
493;3;433;493;3;603
493;3;603;493;3;433
493;3;1459;493;3;2519
493;3;2519;493;3;4180
493;3;4180;493;3;1459
493;3;685;493;3;1347
493;3;1347;493;3;2536
493;3;2536;493;3;685
493;3;585;493;3;608
493;3;608;493;3;4448
493;3;4448;493;3;585
493;3;4410;493;3;4412
493;3;4412;493;3;4417
493;3;4417;493;3;4410
493;3;4419;493;3;4421
493;3;4421;493;3;4419
493;3;336;493;3;338
493;3;338;493;3;340
493;3;340;493;3;342
493;3;342;493;3;344
493;3;344;493;3;346
493;3;346;493;3;348
493;3;348;493;3;336
493;3;3956;493;3;3958
493;3;3958;493;3;3956
493;3;3960;493;3;3962
493;3;3962;493;3;3964
493;3;3964;493;3;3960
493;3;59;493;3;4413
493;3;4413;493;3;59
493;3;4415;493;3;4432
493;3;4432;493;3;4589
493;3;4589;493;3;4415
493;3;324;493;3;326
493;3;326;493;3;328
493;3;328;493;3;324
493;3;330;493;3;332
493;3;332;493;3;334
493;3;334;493;3;330
493;3;2838;493;3;2842
493;3;2842;493;3;2838
493;3;1385;493;3;2839
493;3;2839;493;3;1385
493;3;2840;493;3;3068
493;3;3068;493;3;2840
493;3;4504;493;3;4508
493;3;4508;493;3;4504
493;3;407;493;3;1127
493;3;1127;493;3;407
493;3;408;493;3;4537
493;3;4537;493;3;408
493;3;1454;493;3;2811
493;3;2811;493;3;1454
493;3;409;493;3;2978
493;3;2978;493;3;409
493;3;410;493;3;517
493;3;517;493;3;410
493;3;411;493;3;1466
493;3;1466;493;3;411
493;3;4475;493;3;4478
493;3;4478;493;3;4475
493;3;413;493;3;2710
493;3;2710;493;3;413
493;3;414;493;3;4497
493;3;4497;493;3;4500
493;3;4500;493;3;414
493;3;4235;493;3;4493
493;3;4493;493;3;4235
493;3;2744;493;3;2747
493;3;2747;493;3;2744
493;3;2748;493;3;2753
493;3;2753;493;3;2748
493;3;2740;493;3;2749
493;3;2749;493;3;2740
493;3;1262;493;3;1266
493;3;1266;493;3;2750
493;3;2750;493;3;1262
493;3;3061;493;3;3077
493;3;3077;493;3;3061
493;3;3078;493;3;4520
493;3;4520;493;3;3078
493;3;940;493;3;942
493;3;942;493;3;997
493;3;997;493;3;940
493;3;539;493;3;998
493;3;998;493;3;1242
493;3;1242;493;3;539
493;3;350;493;3;352
493;3;352;493;3;354
493;3;354;493;3;356
493;3;356;493;3;4257
493;3;4257;493;3;350
493;3;4521;493;3;4524
493;3;4524;493;3;4526
493;3;4526;493;3;4521
493;3;4527;493;3;4529
493;3;4529;493;3;4527
493;3;4477;493;3;4481
493;3;4481;493;3;4477
493;3;1166;493;3;2609
493;3;2609;493;3;1166
493;3;1167;493;3;1169
493;3;1169;493;3;1167
493;3;905;493;3;912
493;3;912;493;3;905
493;3;913;493;3;1173
493;3;1173;493;3;913
493;3;574;493;3;914
493;3;914;493;3;945
493;3;945;493;3;950
493;3;950;493;3;574
493;3;416;493;3;540
493;3;540;493;3;542
493;3;542;493;3;416
493;3;417;493;3;557
493;3;557;493;3;1286
493;3;1286;493;3;417
493;3;1417;493;3;1419
493;3;1419;493;3;1417
493;3;4403;493;3;4405
493;3;4405;493;3;4403
493;3;1231;493;3;4406
493;3;4406;493;3;1231
493;3;947;493;3;2692
493;3;2692;493;3;947
493;3;948;493;3;962
493;3;962;493;3;948
493;3;419;493;3;957
493;3;957;493;3;419
493;3;421;493;3;425
493;3;425;493;3;596
493;3;596;493;3;958
493;3;958;493;3;421
493;3;682;493;3;794
493;3;794;493;3;796
493;3;796;493;3;682
493;3;575;493;3;797
493;3;797;493;3;939
493;3;939;493;3;575
493;3;808;493;3;901
493;3;901;493;3;903
493;3;903;493;3;808
493;3;904;493;3;910
493;3;910;493;3;904
493;3;894;493;3;906
493;3;906;493;3;894
493;3;965;493;3;1143
493;3;1143;493;3;4181
493;3;4181;493;3;965
493;3;4175;493;3;4176
493;3;4176;493;3;4175
493;3;967;493;3;983
493;3;983;493;3;967
493;3;4277;493;3;4280
493;3;4280;493;3;4577
493;3;4577;493;3;4277
493;3;1287;493;3;1289
493;3;1289;493;3;1287
493;3;424;493;3;1290
493;3;1290;493;3;424
493;3;2833;493;3;2835
493;3;2835;493;3;2833
493;3;4258;493;3;4259
493;3;4259;493;3;4258
493;3;2549;493;3;2550
493;3;2550;493;3;2549
493;3;4547;493;3;4549
493;3;4549;493;3;4547
493;3;1328;493;3;1330
493;3;1330;493;3;1328
493;3;1306;493;3;1332
493;3;1332;493;3;1306
493;3;429;493;3;712
493;3;712;493;3;4178
493;3;4178;493;3;429
493;3;430;493;3;527
493;3;527;493;3;430
493;3;431;493;3;698
493;3;698;493;3;431
493;3;641;493;3;690
493;3;690;493;3;692
493;3;692;493;3;641
493;3;526;493;3;694
493;3;694;493;3;526
493;3;695;493;3;697
493;3;697;493;3;4568
493;3;4568;493;3;695
493;3;435;493;3;1360
493;3;1360;493;3;435
493;3;437;493;3;620
493;3;620;493;3;437
493;3;4233;493;3;4234
493;3;4234;493;3;4233
493;3;630;493;3;1292
493;3;1292;493;3;2696
493;3;2696;493;3;630
493;3;1076;493;3;1078
493;3;1078;493;3;1076
493;3;2586;493;3;2587
493;3;2587;493;3;2586
493;3;2520;493;3;2523
493;3;2523;493;3;2520
493;3;440;493;3;2938
493;3;2938;493;3;440
493;3;441;493;3;443
493;3;443;493;3;441
493;3;445;493;3;605
493;3;605;493;3;445
493;3;446;493;3;767
493;3;767;493;3;446
493;3;1350;493;3;4609
493;3;4609;493;3;1350
493;3;1351;493;3;1354
493;3;1354;493;3;1351
493;3;448;493;3;558
493;3;558;493;3;632
493;3;632;493;3;448
493;3;890;493;3;892
493;3;892;493;3;2636
493;3;2636;493;3;890
493;3;893;493;3;2967
493;3;2967;493;3;893
