CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
348;46;1;A;1;0;1872;
348;46;2;A;3;0;1873;1
348;46;18051;A;7;0;1647;2
348;46;18052;A;8;0;1648;18051
