CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
504;14;1457;P;1;10;;35567;35651;;4;;;461;1;1;1;1;1;1;;;+11364422;+3466324;0;1
504;14;447;P;1;10;;35567;35586;;4;;;461;1;1;1;1;1;1;;;+11366190;+3466654;0;1
504;14;448;P;1;10;;35567;35577;;4;;;461;1;1;1;1;1;1;;;+11368555;+3466486;0;1
504;14;813;P;1;10;;35668;35640;;4;;;812;1;1;1;1;1;1;;;+11362628;+3479119;0;1
504;14;814;P;1;10;;35668;35641;;4;;;812;1;1;1;1;1;1;;;+11363566;+3479550;0;1
504;14;815;P;1;10;;35668;35754;;4;;;812;1;1;1;1;1;1;;;+11364278;+3479878;0;1
504;14;816;P;1;10;;35668;35623;;4;;;812;1;1;1;1;1;1;;;+11364790;+3479962;0;1
504;14;817;P;1;10;;35668;35728;;4;;;812;1;1;1;1;1;1;;;+11365932;+3479961;0;1
504;14;818;P;1;10;;35668;35729;;4;;;812;1;1;1;1;1;1;;;+11366591;+3479952;0;1
504;14;819;P;1;10;;35668;35678;;4;;;812;1;1;1;1;1;1;;;+11368159;+3479697;0;1
504;14;1481;P;1;10;;35668;35765;;4;;;812;1;1;1;1;1;1;;;+11368783;+3479594;0;1
504;14;820;P;1;10;;35668;35730;;4;;;812;1;1;1;1;1;1;;;+11369258;+3479512;0;1
504;14;821;P;1;10;;35668;35563;;4;;;812;1;1;1;1;1;1;;;+11370665;+3479224;0;1
504;14;982;P;1;11;;35577;36019;;4;;1967;;1;1;1;1;1;1;;;+11368418;+3459284;0;0
504;14;417;P;1;3;;35577;36071;;4;;1967;;1;1;1;1;1;1;;;+11367565;+3464127;0;0
504;14;418;P;1;10;;35577;35586;;4;;1967;;1;1;1;1;1;1;;;+11367327;+3464574;0;0
504;14;406;P;1;10;;35577;35567;;4;;1967;;1;1;1;1;1;1;;;+11368555;+3466486;0;1
504;14;407;P;1;10;;35577;35665;;4;;1967;;1;1;1;1;1;1;;;+11370329;+3467130;0;1
504;14;408;P;1;10;;35577;36020;;4;;1967;;1;1;1;1;1;1;;;+11374402;+3468053;0;1
504;14;414;P;1;11;;35577;36485;;4;;1967;;1;1;1;1;1;1;;;+11377741;+3470456;0;1
504;14;409;P;1;10;;35577;35600;;4;;1967;;1;1;1;1;1;1;;;+11378176;+3472086;0;1
504;14;410;P;1;10;;35577;35591;;4;;1967;;1;1;1;1;1;1;;;+11378360;+3474319;0;1
504;14;411;P;1;10;;35577;35593;;4;;1967;;1;1;1;1;1;1;;;+11378130;+3475514;412;1
504;14;412;P;1;10;;35577;35592;;4;;1968;;1;1;1;1;1;1;;;+11378079;+3477185;411;1
504;14;1456;P;1;10;;35577;35963;;4;;1968;;1;1;1;1;1;1;;;+11378081;+3478224;0;1
504;14;1562;P;1;10;;35577;35739;;4;;1968;;1;1;1;1;1;1;;;+11378083;+3479355;0;1
504;14;1467;P;1;11;;35577;36612;;4;;1968;;1;1;1;1;1;1;;;+11378066;+3481217;0;1
504;14;413;P;1;11;;35577;36581;;4;;1968;;1;1;1;1;1;1;;;+11378055;+3483669;0;1
504;14;1468;P;1;10;;35577;35595;;4;;1968;;1;1;1;1;1;1;;;+11375722;+3487004;0;1
504;14;438;P;1;11;;35577;35991;;4;;1968;;1;1;1;1;1;1;;;+11373644;+3487423;0;1
504;14;403;P;1;12;;35577;35563;;4;;1968;;1;1;1;1;1;1;;;+11367083;+3488440;0;1
504;14;1882;P;1;11;;35577;36582;;4;;1968;;1;1;1;1;1;1;;;+11367100;+3489995;0;0
504;14;419;P;1;10;;35563;35567;;4;;;422;1;1;1;1;1;1;;;+11368555;+3466486;0;1
504;14;420;P;1;10;;35563;35664;;4;;;422;1;1;1;1;1;1;;;+11369642;+3468363;0;1
504;14;423;P;1;6;;35563;35635;;4;;;422;1;1;1;1;1;1;;;+11370637;+3470156;0;1
504;14;424;P;1;10;;35563;36020;;4;;;422;1;1;1;1;1;1;;;+11370950;+3471245;0;1
504;14;425;P;1;6;;35563;35600;;4;;;422;1;1;1;1;1;1;;;+11371564;+3472097;0;1
504;14;426;P;1;3;;35563;35570;;4;;;422;1;1;1;1;1;1;;;+11372618;+3473284;0;1
504;14;1532;P;1;7;;35563;35926;;4;;;422;1;1;1;1;1;1;;;+11372627;+3473787;0;1
504;14;427;P;1;6;;35563;35601;;4;;;422;1;1;1;1;1;1;;;+11372653;+3474699;0;1
504;14;1533;P;1;12;;35563;35593;;4;;;422;1;1;1;1;1;1;;;+11372680;+3475493;0;1
504;14;428;P;1;6;;35563;36584;;4;;;422;1;1;1;1;1;1;;;+11372687;+3476053;0;1
504;14;1534;P;1;12;;35563;35736;;4;;;422;1;1;1;1;1;1;;;+11371545;+3477073;0;1
504;14;429;P;1;6;;35563;36424;;4;;;422;1;1;1;1;1;1;;;+11370966;+3477660;0;1
504;14;1535;P;1;12;;35563;35679;;4;;;422;1;1;1;1;1;1;;;+11370835;+3478000;0;1
504;14;1756;P;1;12;;35563;35753;;4;;;422;1;1;1;1;1;1;;;+11370793;+3478332;0;1
504;14;1757;P;1;12;;35563;35716;;4;;;422;1;1;1;1;1;1;;;+11370627;+3479521;0;1
504;14;431;P;1;6;;35563;36585;;4;;;422;1;1;1;1;1;1;;;+11370181;+3480981;0;1
504;14;1536;P;1;12;;35563;36015;;4;;;422;1;1;1;1;1;1;;;+11369950;+3481621;0;1
504;14;1537;P;1;10;;35563;35675;;4;;;422;1;1;1;1;1;1;;;+11369828;+3481954;0;1
504;14;1538;P;1;10;;35563;35657;;4;;;422;1;1;1;1;1;1;;;+11369512;+3482822;0;1
504;14;1539;P;1;12;;35563;36016;;4;;;422;1;1;1;1;1;1;;;+11369419;+3483084;0;1
504;14;432;P;1;3;;35563;36586;;4;;;422;1;1;1;1;1;1;;;+11369205;+3484495;0;1
504;14;434;P;1;12;;35563;36630;;4;;;422;1;1;1;1;1;1;;;+11369175;+3486275;0;1
504;14;1471;P;1;11;;35563;35577;;4;;;422;1;1;1;1;1;1;;;+11367083;+3488440;0;1
504;14;905;P;1;10;;35756;35561;;4;;;902;1;1;1;1;1;1;;;+11353069;+3478517;0;1
504;14;1701;P;1;12;;35756;35757;;4;;;902;1;1;1;1;1;1;;;+11354107;+3478344;0;1
504;14;985;P;1;12;;35756;35776;;4;;;902;1;1;1;1;1;1;;;+11355647;+3478135;0;1
504;14;909;P;1;10;;35756;35759;;4;;;902;1;1;1;1;1;1;;;+11358248;+3478111;0;1
504;14;910;P;1;10;;35756;35627;;4;;;902;1;1;1;1;1;1;;;+11359362;+3477943;0;1
504;14;986;P;1;10;;35756;35670;;4;;;902;1;1;1;1;1;1;;;+11360145;+3477805;0;1
504;14;449;P;1;3;;35860;36028;;4;;;462;1;1;1;1;1;1;;;+11381244;+3473950;0;1
504;14;450;P;1;12;;35860;35616;;4;;;462;1;1;1;1;1;1;;;+11383186;+3473638;0;0
504;14;1541;P;1;10;;35860;36084;;4;;;462;1;1;1;1;1;1;;;+11387734;+3473340;0;0
504;14;665;P;1;10;;35591;35601;;4;;;664;1;1;1;1;1;1;;;+11372653;+3474699;0;1
504;14;666;P;1;10;;35591;35712;;4;;;664;1;1;1;1;1;1;;;+11373324;+3474793;0;1
504;14;667;P;1;12;;35591;35713;;4;;;664;1;1;1;1;1;1;;;+11373974;+3474877;0;1
504;14;668;P;1;10;;35591;36489;;4;;;664;1;1;1;1;1;1;;;+11374695;+3474794;0;1
504;14;669;P;1;10;;35591;36486;;4;;;664;1;1;1;1;1;1;;;+11375617;+3474680;0;1
504;14;670;P;1;10;;35591;36487;;4;;;664;1;1;1;1;1;1;;;+11376659;+3474547;0;1
504;14;671;P;1;10;;35591;35577;;4;;;664;1;1;1;1;1;1;;;+11378360;+3474319;0;1
504;14;672;P;1;3;;35591;36028;;4;;;664;1;1;1;1;1;1;;;+11381244;+3473950;0;1
504;14;601;P;1;10;;35601;35643;;4;;;600;1;1;1;1;1;1;;;+11369146;+3474686;0;1
504;14;1530;P;1;10;;35601;35726;;4;;;600;1;1;1;1;1;1;;;+11370017;+3474685;0;1
504;14;602;P;1;10;;35601;35603;;4;;;600;1;1;1;1;1;1;;;+11370405;+3474685;0;1
504;14;1462;P;1;11;;35601;35915;;4;;;600;1;1;1;1;1;1;;;+11371098;+3474686;0;1
504;14;603;P;1;10;;35601;35694;;4;;;600;1;1;1;1;1;1;;;+11371846;+3474687;0;1
504;14;604;P;1;10;;35601;35563;;4;;;600;1;1;1;1;1;1;;;+11372653;+3474699;0;1
504;14;81;P;1;1;;36071;35559;;4;;;70;1;1;1;1;1;1;;;+11346682;+3485930;0;0
504;14;82;P;1;3;;36071;35567;;4;;;70;1;1;1;1;1;1;;;+11346021;+3477139;0;0
504;14;83;P;3;3;;36071;35583;;4;;;70;1;1;1;1;1;1;;;+11348573;+3471650;0;0
504;14;84;P;1;1;;36071;35573;;4;;;70;1;1;1;1;1;1;;;+11351786;+3467145;0;0
504;14;85;P;1;3;;36071;35652;;4;;;70;1;1;1;1;1;1;;;+11355464;+3464999;0;0
504;14;86;P;1;1;;36071;36066;;4;;;70;1;1;1;1;1;1;;;+11362932;+3463855;0;0
504;14;87;P;1;3;;36071;35577;;4;;;70;1;1;1;1;1;1;;;+11368118;+3463864;0;0
504;14;88;P;1;1;;36071;35570;;4;;;70;1;1;1;1;1;1;;;+11380589;+3464326;0;0
504;14;89;P;1;1;;36071;36028;;4;;;70;1;1;1;1;1;1;;;+11382431;+3464710;0;0
504;14;6787;P;1;12;;755;816;;5;;;6786;1;1;1;1;1;1;;;+11237625;+3466260;0;1
504;14;6788;P;1;10;;755;818;;5;;;6786;1;1;1;1;1;1;;;+11237796;+3466662;0;1
504;14;6789;P;1;10;;755;699;;5;;;6786;1;1;1;1;1;1;;;+11237949;+3467027;0;1
504;14;733;P;1;7;;35714;35563;;4;;;732;1;1;1;1;1;1;;;+11370966;+3477660;0;1
504;14;734;P;1;10;;35714;35737;;4;;;732;1;1;1;1;1;1;;;+11372078;+3478011;0;1
504;14;735;P;1;10;;35714;35738;;4;;;732;1;1;1;1;1;1;;;+11373607;+3477661;0;1
504;14;736;P;1;10;;35714;35739;;4;;;732;1;1;1;1;1;1;;;+11374147;+3477137;0;1
504;14;1490;P;1;10;;35714;35755;;4;;;732;1;1;1;1;1;1;;;+11374337;+3476877;0;1
504;14;584;P;1;10;;35685;35644;;4;;;583;1;1;1;1;1;1;;;+11366661;+3475250;0;1
504;14;1516;P;1;10;;35685;35766;;4;;;583;1;1;1;1;1;1;;;+11367079;+3475520;0;1
504;14;1704;P;1;10;;35685;35686;;4;;;583;1;1;1;1;1;1;;;+11367199;+3475611;0;1
504;14;1623;P;1;12;;35685;36032;;4;;;583;1;1;1;1;1;1;;;+11367769;+3476039;0;1
504;14;587;P;1;8;;35685;35656;;4;;;583;1;1;1;1;1;1;;;+11368202;+3476376;0;1
504;14;1059;P;1;10;;36121;35567;;4;;;1768;1;1;1;1;1;1;;;+11353544;+3471391;0;1
504;14;1769;P;1;12;;36121;36092;;4;;;1768;1;1;1;1;1;1;;;+11354995;+3471287;0;1
504;14;1054;P;1;10;;35880;35567;;4;;;1053;1;1;1;1;1;1;;;+11353328;+3473117;0;1
504;14;1055;P;1;11;;35880;36092;;4;;;1053;1;1;1;1;1;1;;;+11355120;+3473090;0;1
504;14;1056;P;1;12;;35880;35882;;4;;;1053;1;1;1;1;1;1;;;+11357147;+3473290;0;1
504;14;1057;P;1;12;;35880;35627;;4;;;1053;1;1;1;1;1;1;;;+11358454;+3473830;0;1
504;14;453;P;1;7;;36627;35627;;4;;;452;1;1;1;1;1;1;;;+11359829;+3480490;0;1
504;14;1966;P;1;12;;36627;36622;;4;;;452;1;1;1;1;1;1;;;+11361572;+3481106;0;1
504;14;455;P;1;6;;36627;35621;;4;;;452;1;1;1;1;1;1;;;+11362374;+3481275;0;1
504;14;456;P;1;10;;36627;35622;;4;;;452;1;1;1;1;1;1;;;+11363799;+3481177;0;1
504;14;457;P;1;10;;36627;35623;;4;;;452;1;1;1;1;1;1;;;+11364791;+3481069;0;1
504;14;458;P;1;6;;36627;35624;;4;;;452;1;1;1;1;1;1;;;+11366466;+3481022;0;1
504;14;459;P;1;6;;36627;35625;;4;;;452;1;1;1;1;1;1;;;+11368137;+3480973;0;1
504;14;1475;P;1;6;;36627;35730;;4;;;452;1;1;1;1;1;1;;;+11369274;+3480939;0;1
504;14;460;P;1;7;;36627;35563;;4;;;452;1;1;1;1;1;1;;;+11370181;+3480981;0;1
504;14;6541;P;1;10;;782;770;;5;;;6540;1;1;1;1;1;1;;;+11246873;+3468850;0;1
504;14;6542;P;1;11;;782;771;;5;;;6540;1;1;1;1;1;1;;;+11247912;+3469164;0;1
504;14;6543;P;1;8;;782;772;;5;;;6540;1;1;1;1;1;1;;;+11248608;+3469237;0;1
504;14;7027;P;1;11;;940;858;;5;;;7026;1;1;1;1;1;1;;;+11252249;+3467240;0;0
504;14;7028;P;1;10;;940;686;;5;;;7026;1;1;1;1;1;1;;;+11251783;+3469007;0;0
504;14;123;P;1;1;;35570;36028;;4;;;63;1;1;1;1;1;1;;;+11381674;+3453064;0;0
504;14;124;P;1;3;;35570;36097;;4;;;63;1;1;1;1;1;1;;;+11382170;+3454115;0;0
504;14;92;P;1;1;;35570;36071;;4;;;63;1;1;1;1;1;1;;;+11380589;+3464326;0;0
504;14;65;P;1;3;;35570;35600;;4;;;63;1;1;1;1;1;1;;;+11372620;+3472098;0;1
504;14;66;P;1;3;;35570;35563;;4;;;63;1;1;1;1;1;1;;;+11372618;+3473284;0;1
504;14;978;P;1;8;;35665;36496;;4;;;538;1;1;1;1;1;1;;;+11372297;+3459183;0;0
504;14;979;P;1;11;;35665;36108;;4;;;538;1;1;1;1;1;1;;;+11372478;+3461185;0;0
504;14;539;P;1;12;;35665;35666;;4;;;538;1;1;1;1;1;1;;;+11371574;+3464445;0;0
504;14;540;P;1;10;;35665;35577;;4;;;538;1;1;1;1;1;1;;;+11370329;+3467130;0;1
504;14;503;P;1;10;;35586;35577;;4;;;502;1;1;1;1;1;1;;;+11367327;+3464574;0;0
504;14;504;P;1;10;;35586;35567;;4;;;502;1;1;1;1;1;1;;;+11366190;+3466654;0;1
504;14;1775;P;1;10;;36497;35586;;4;;;1774;1;1;1;1;1;1;;;+11366190;+3466654;0;1
504;14;1473;P;1;12;;36497;35893;;4;;;1774;1;1;1;1;1;1;;;+11365430;+3468000;0;1
504;14;1474;P;1;12;;36497;35892;;4;;;1774;1;1;1;1;1;1;;;+11365271;+3468295;0;1
