CID;LID;NID;NTRANSLATION
511;2;129;bai long nan lu
511;3;129;Bailong South Rd
511;2;130;hai fu yi heng lu
511;3;130;Haifuyi Rd
511;2;131;he ping nan lu
511;3;131;Heping South Rd
511;2;132;hai xiu xi lu
511;3;132;Haixiu West Rd
511;2;133;bin mao lu
511;3;133;Binmao Rd
511;2;134;qiao zhong lu
511;3;134;Qiaozhong Rd
511;2;135;lan tian lu
511;3;135;Lantian Rd
511;2;136;da ying xi lu
511;3;136;Daying West Rd
511;2;137;ji chang hu tong
511;3;137;Jichanghutong
511;2;138;qiong wen da dao
511;3;138;Qiongwen Blvd
511;2;139;ling gui da dao
511;3;139;Linggui Blvd
511;2;140;S201
511;3;140;S201
511;2;141;mei lan you er yuan
511;3;141;Meilanyoueryuan
511;2;143;ji chang hu tong zhi S201
511;3;143;Jichanghutong to S201
511;2;144;hai kou mei lan guo ji ji chang
511;3;144;Haikoumeilanguojijichang
511;2;145;gui lin yang da dao
511;3;145;Guilinyang Blvd
511;2;146;gui lin yang hu tong
511;3;146;Guilinyanghutong
511;2;149;qiong zhou da qiao
511;3;149;Qiongzhou Brg
511;2;150;mei xiang lu
511;3;150;Meixiang Rd
511;2;151;wen tan lu
511;3;151;Wentan Rd
511;2;152;wu zhi shan nan lu
511;3;152;Wuzhishan South Rd
511;2;153;da ying shan xi san lu
511;3;153;Dayingshanxisan Rd
511;2;154;shun da lu
511;3;154;Shunda Rd
511;2;156;hai nan sheng hua qiao shang ye xue xiao
511;3;156;Hainanshenghuaqiaoshangyexuexiao
511;2;157;bai long bei lu
511;3;157;Bailong North Rd
511;2;159;wen ming dong lu
511;3;159;Wenming East Rd
511;2;160;chang di lu
511;3;160;Changdi Rd
511;2;161;xin hua bei lu
511;3;161;Xinhua North Rd
511;2;162;bo ai bei lu
511;3;162;Boai North Rd
511;2;163;he ping qiao
511;3;163;Heping Brg
511;2;164;xun ting lu
511;3;164;Xunting Rd
511;2;165;wu zhi shan lu
511;3;165;Wuzhishan Rd
511;2;166;fu long da sha
511;3;166;Fulongdasha
511;2;167;da tong lu
511;3;167;Datong Rd
511;2;168;long feng lu
511;3;168;Longfeng Rd
511;2;169;gong yuan lu
511;3;169;Gongyuan Rd
511;2;170;wen ming zhong lu
511;3;170;Wenming Middle Rd
511;2;171;he ping bei lu
511;3;171;Heping North Rd
511;2;176;he ping da dao
511;3;176;Heping Blvd
511;2;177;hai dian er dong lu
511;3;177;Haidianer East Rd
511;2;178;hai dian si dong lu
511;3;178;Haidiansi East Rd
511;2;179;hai dian wu dong lu
511;3;179;Haidianwu East Rd
511;2;180;hai dian liu dong lu
511;3;180;Haidianliu East Rd
511;2;181;bi hai da dao
511;3;181;Bihai Blvd
511;2;182;ren min da dao
511;3;182;Renmin Blvd
511;2;183;hai dian wu zhong lu
511;3;183;Haidianwu Middle Rd
511;2;185;bai sha men gong yuan
511;3;185;Baishamen Park
511;2;186;hai dian liu xi lu
511;3;186;Haidianliu West Rd
511;2;187;shi ji da dao
511;3;187;Shiji Blvd
511;2;188;wan xing lu
511;3;188;Wanxing Rd
511;2;189;hai tong lu
511;3;189;Haitong Rd
