CID;LID;CLASS;TCD;STCD;STRANSLATION
511;1;A;1;0;大洲
511;1;A;3;0;国家
511;1;A;7;0;一级区域
511;1;A;8;0;二级区域
511;1;L;1;1;高速
511;1;L;1;2;一级公路
511;1;L;1;3;二级公路
511;1;L;1;4;三级公路
511;1;L;3;0;一级路段
511;1;P;1;1;高速公路立交
511;1;P;1;10;信号交叉口
511;1;P;1;11;无信号交叉口
511;1;P;1;12;T-型交叉路口
511;1;P;1;13;中间节点
511;1;P;1;3;高速公路节点
511;1;P;1;6;跨线桥
511;1;P;1;7;下穿道路
511;1;P;1;8;环形交叉口
511;1;P;3;3;服务区
511;1;P;3;37;地名
