CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
511;21;6447;;6450
511;21;6450;6447;
511;21;6642;;6645
511;21;6645;6642;
511;21;6440;;6443
511;21;6443;6440;
511;21;6492;;6495
511;21;6495;6492;
