CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
511;21;1;A;1;0;257;
511;21;2;A;3;0;258;1
511;21;3;A;7;0;259;2
511;21;4;A;8;0;5;3
511;21;5;A;8;0;260;3
