CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
508;18;6404;508;18;6441
508;18;6441;508;18;6404
508;18;6774;508;18;6882
508;18;6882;508;18;6891
508;18;6891;508;18;6774
508;18;6775;508;18;6977
508;18;6977;508;18;6775
508;18;6776;508;18;6985
508;18;6985;508;18;6776
508;18;6778;508;18;6827
508;18;6827;508;18;6778
508;18;6779;508;18;6929
508;18;6929;508;18;6779
508;18;6772;508;18;6780
508;18;6780;508;18;6914
508;18;6914;508;18;7190
508;18;7190;508;18;6772
508;18;6718;508;18;6781
508;18;6781;508;18;6718
508;18;6782;508;18;7194
508;18;7194;508;18;6782
508;18;6783;508;18;7206
508;18;7206;508;18;6783
508;18;6784;508;18;6906
508;18;6906;508;18;6784
508;18;6785;508;18;6788
508;18;6788;508;18;6903
508;18;6903;508;18;7010
508;18;7010;508;18;7311
508;18;7311;508;18;6785
508;18;6475;508;18;7452
508;18;7452;508;18;6475
508;18;6477;508;18;6730
508;18;6730;508;18;6477
508;18;6479;508;18;6972
508;18;6972;508;18;6479
508;18;6885;508;18;7362
508;18;7362;508;18;6885
508;18;6481;508;18;6825
508;18;6825;508;18;6481
508;18;6482;508;18;6947
508;18;6947;508;18;6482
508;18;6483;508;18;6926
508;18;6926;508;18;6483
508;18;6485;508;18;6932
508;18;6932;508;18;7188
508;18;7188;508;18;7852
508;18;7852;508;18;6485
508;18;6486;508;18;7193
508;18;7193;508;18;6486
508;18;6488;508;18;6787
508;18;6787;508;18;6790
508;18;6790;508;18;6905
508;18;6905;508;18;6992
508;18;6992;508;18;7257
508;18;7257;508;18;7269
508;18;7269;508;18;7279
508;18;7279;508;18;6488
508;18;1992;508;18;2170
508;18;2170;508;18;1992
508;18;2171;508;18;2185
508;18;2185;508;18;2171
508;18;2054;508;18;2172
508;18;2172;508;18;2054
508;18;284;508;18;2173
508;18;2173;508;18;2199
508;18;2199;508;18;284
508;18;2174;508;18;2212
508;18;2212;508;18;2174
508;18;2176;508;18;2260
508;18;2260;508;18;2176
508;18;602;508;18;2177
508;18;2177;508;18;602
508;18;2178;508;18;2283
508;18;2283;508;18;2178
508;18;254;508;18;2179
508;18;2179;508;18;254
508;18;2180;508;18;2291
508;18;2291;508;18;2180
508;18;2181;508;18;2295
508;18;2295;508;18;2181
508;18;24406;508;18;25110
508;18;25110;508;18;24406
508;18;24407;508;18;24426
508;18;24426;508;18;24407
508;18;24408;508;18;24545
508;18;24545;508;18;24811
508;18;24811;508;18;24408
508;18;24409;508;18;24440
508;18;24440;508;18;24442
508;18;24442;508;18;24549
508;18;24549;508;18;24409
508;18;24410;508;18;24756
508;18;24756;508;18;24410
508;18;24411;508;18;24464
508;18;24464;508;18;24466
508;18;24466;508;18;24758
508;18;24758;508;18;24411
508;18;24412;508;18;24462
508;18;24462;508;18;24412
508;18;24413;508;18;24449
508;18;24449;508;18;24413
508;18;24415;508;18;24486
508;18;24486;508;18;24415
508;18;7794;508;18;7795
508;18;7795;508;18;7794
508;18;534;508;18;1496
508;18;1496;508;18;1609
508;18;1609;508;18;534
508;18;24460;508;18;24463
508;18;24463;508;18;24460
508;18;7329;508;18;7331
508;18;7331;508;18;7329
508;18;6493;508;18;6821
508;18;6821;508;18;6493
508;18;6495;508;18;6507
508;18;6507;508;18;7442
508;18;7442;508;18;6495
508;18;6422;508;18;6496
508;18;6496;508;18;6422
508;18;18493;508;18;18502
508;18;18502;508;18;18493
508;18;18494;508;18;18942
508;18;18942;508;18;18494
508;18;18495;508;18;18930
508;18;18930;508;18;18495
508;18;18474;508;18;18496
508;18;18496;508;18;18474
508;18;18871;508;18;18895
508;18;18895;508;18;18871
508;18;18483;508;18;18868
508;18;18868;508;18;18897
508;18;18897;508;18;18483
508;18;6417;508;18;6504
508;18;6504;508;18;6417
508;18;6506;508;18;7722
508;18;7722;508;18;6506
508;18;7934;508;18;7935
508;18;7935;508;18;7934
508;18;6410;508;18;6659
508;18;6659;508;18;6410
508;18;6411;508;18;6668
508;18;6668;508;18;7747
508;18;7747;508;18;6411
508;18;6412;508;18;6667
508;18;6667;508;18;6412
508;18;7570;508;18;7936
508;18;7936;508;18;7570
508;18;6565;508;18;7578
508;18;7578;508;18;6565
508;18;6566;508;18;6569
508;18;6569;508;18;6566
508;18;6526;508;18;6758
508;18;6758;508;18;6884
508;18;6884;508;18;6526
508;18;7552;508;18;7746
508;18;7746;508;18;7552
508;18;6529;508;18;6841
508;18;6841;508;18;6529
508;18;6531;508;18;6834
508;18;6834;508;18;6531
508;18;6532;508;18;6830
508;18;6830;508;18;6532
508;18;6533;508;18;6682
508;18;6682;508;18;6533
508;18;6205;508;18;6535
508;18;6535;508;18;6205
508;18;6445;508;18;6536
508;18;6536;508;18;6445
508;18;6707;508;18;6709
508;18;6709;508;18;7109
508;18;7109;508;18;7955
508;18;7955;508;18;6707
508;18;6711;508;18;6733
508;18;6733;508;18;6711
508;18;6712;508;18;6880
508;18;6880;508;18;6712
508;18;6713;508;18;6975
508;18;6975;508;18;6713
508;18;6714;508;18;6983
508;18;6983;508;18;6714
508;18;6715;508;18;7364
508;18;7364;508;18;6715
508;18;6716;508;18;6826
508;18;6826;508;18;6716
508;18;6717;508;18;6928
508;18;6928;508;18;6717
508;18;7185;508;18;7745
508;18;7745;508;18;7185
508;18;7770;508;18;7772
508;18;7772;508;18;7770
508;18;24533;508;18;24535
508;18;24535;508;18;24550
508;18;24550;508;18;24533
508;18;24551;508;18;24780
508;18;24780;508;18;24551
508;18;24552;508;18;24789
508;18;24789;508;18;24552
508;18;24553;508;18;24798
508;18;24798;508;18;24553
508;18;24554;508;18;24556
508;18;24556;508;18;24812
508;18;24812;508;18;24554
508;18;7773;508;18;7775
508;18;7775;508;18;7773
508;18;6415;508;18;6688
508;18;6688;508;18;7755
508;18;7755;508;18;6415
508;18;7776;508;18;7778
508;18;7778;508;18;7776
508;18;6408;508;18;7780
508;18;7780;508;18;6408
508;18;18403;508;18;18896
508;18;18896;508;18;18403
508;18;7790;508;18;7791
508;18;7791;508;18;7790
508;18;6621;508;18;7481
508;18;7481;508;18;6621
508;18;6420;508;18;7733
508;18;7733;508;18;7735
508;18;7735;508;18;7959
508;18;7959;508;18;6420
508;18;6808;508;18;6810
508;18;6810;508;18;6808
508;18;6811;508;18;6969
508;18;6969;508;18;6811
508;18;6876;508;18;6979
508;18;6979;508;18;6876
508;18;6813;508;18;6824
508;18;6824;508;18;6813
508;18;6814;508;18;7179
508;18;7179;508;18;6814
508;18;6815;508;18;6817
508;18;6817;508;18;6815
508;18;24542;508;18;25108
508;18;25108;508;18;24542
508;18;24532;508;18;24543
508;18;24543;508;18;24532
508;18;24544;508;18;24779
508;18;24779;508;18;24544
508;18;24546;508;18;24932
508;18;24932;508;18;24546
508;18;24547;508;18;24961
508;18;24961;508;18;24547
508;18;24425;508;18;24531
508;18;24531;508;18;24425
508;18;6416;508;18;7479
508;18;7479;508;18;6416
508;18;7781;508;18;7783
508;18;7783;508;18;7781
