CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
509;19;1;A;1;0;1;
509;19;2;A;3;0;2;1
509;19;3;A;7;0;3;2
509;19;4;A;8;0;4;3
509;19;6;A;8;0;40;3
509;19;5;A;8;0;21;3
